 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Local ocorrência;;;;;;;
Período:2000-2022;;;;;;;
Município;Hospital;Outro Estabelecimento de Saúde;Domicílio;Aldeia indígena;Outro;Ignorado;Total
313290 ITAMOGI;2780;6;1;-;2;-;2789
313300 ITAMONTE;4103;3;3;-;-;-;4109
313310 ITANHANDU;4238;1;1;-;-;-;4240
313320 ITANHOMI;3863;1;4;-;-;-;3868
313330 ITAOBIM;6840;3;6;-;1;-;6850
313340 ITAPAGIPE;2779;18;1;-;4;-;2802
313350 ITAPECERICA;4722;1;4;-;1;-;4728
313360 ITAPEVA;2470;5;15;-;4;-;2494
313370 ITATIAIUCU;3048;4;8;-;7;-;3067
313375 ITAU DE MINAS;4023;15;2;-;1;-;4041
313380 ITAUNA;24663;16;31;-;6;-;24716
313390 ITAVERAVA;1404;1;12;-;3;1;1421
313400 ITINGA;3659;2;65;-;155;-;3881
313410 ITUETA;1731;1;2;-;1;-;1735
313420 ITUIUTABA;27654;18;25;-;11;-;27708
313430 ITUMIRIM;1716;24;7;-;3;-;1750
313440 ITURAMA;11581;13;9;-;3;-;11606
313450 ITUTINGA;1026;2;3;-;2;-;1033
313460 JABOTICATUBAS;4183;2;13;-;32;1;4231
313470 JACINTO;3222;2;11;-;4;-;3239
313480 JACUI;2068;-;6;-;1;-;2075
313490 JACUTINGA;6744;232;5;-;-;-;6981
313500 JAGUARACU;752;-;-;-;1;-;753
313505 JAIBA;12657;18;243;-;65;1;12984
313507 JAMPRUCA;1521;3;22;-;16;-;1562
313510 JANAUBA;25658;7;41;-;14;1;25721
313520 JANUARIA;23632;97;327;-;76;1;24133
313530 JAPARAIBA;1146;1;-;-;-;-;1147
313535 JAPONVAR;2451;7;11;-;3;-;2472
313540 JECEABA;1259;1;5;-;1;-;1266
313545 JENIPAPO DE MINAS;1638;2;75;-;8;-;1723
313550 JEQUERI;3240;2;14;-;14;-;3270
313560 JEQUITAI;2052;15;4;-;12;-;2083
313570 JEQUITIBA;1302;1;9;-;-;-;1312
313580 JEQUITINHONHA;4988;1804;14;-;4;-;6810
313590 JESUANIA;1216;4;-;-;-;-;1220
313600 JOAIMA;5404;8;12;-;5;-;5429
313610 JOANESIA;1112;1;4;-;4;-;1121
313620 JOAO MONLEVADE;22175;15;15;-;11;5;22221
313630 JOAO PINHEIRO;16375;20;35;-;37;1;16468
313640 JOAQUIM FELICIO;1111;5;7;-;1;-;1124
313650 JORDANIA;2697;4;12;-;1;-;2714
313652 JOSE GONCALVES DE MINAS;1166;-;30;-;6;-;1202
313655 JOSE RAYDAN;1233;3;18;-;-;-;1254
313657 JOSENOPOLIS;1316;20;106;-;10;-;1452
313660 NOVA UNIAO;1605;2;-;-;2;-;1609
313665 JUATUBA;8022;8;13;-;19;3;8065
313670 JUIZ DE FORA;147437;120;811;-;364;123;148855
313680 JURAMENTO;1083;-;1;-;2;-;1086
313690 JURUAIA;2961;1;2;-;-;-;2964
313695 JUVENILIA;1556;10;64;-;3;-;1633
313700 LADAINHA;4813;9;345;-;25;-;5192
313710 LAGAMAR;1445;14;7;-;3;-;1469
313720 LAGOA DA PRATA;14022;23;3;-;1;-;14049
313730 LAGOA DOS PATOS;1117;5;42;-;7;1;1172
313740 LAGOA DOURADA;3712;2;3;-;3;-;3720
313750 LAGOA FORMOSA;4372;9;6;-;9;-;4396
313753 LAGOA GRANDE;2301;23;9;-;13;-;2346
313760 LAGOA SANTA;16331;16;49;-;32;54;16482
313770 LAJINHA;7017;9;18;-;15;-;7059
313780 LAMBARI;5829;4;-;-;2;-;5835
313790 LAMIM;929;-;25;-;3;-;957
313800 LARANJAL;1034;37;2;-;1;-;1074
313810 LASSANCE;1913;70;11;-;16;-;2010
313820 LAVRAS;30447;24;69;-;17;-;30557
313830 LEANDRO FERREIRA;776;2;-;-;-;-;778
313835 LEME DO PRADO;1256;-;9;-;1;-;1266
313840 LEOPOLDINA;15005;6;13;-;1;1;15026
313850 LIBERDADE;1130;1;5;-;1;-;1137
313860 LIMA DUARTE;4201;4;11;-;3;-;4219
313862 LIMEIRA DO OESTE;1840;3;3;-;1;-;1847
313865 LONTRA;2514;12;17;-;7;-;2550
313867 LUISBURGO;2340;4;8;-;-;-;2352
313868 LUISLANDIA;2066;4;26;-;-;-;2096
313870 LUMINARIAS;1325;3;5;-;5;-;1338
313880 LUZ;4786;2;1;-;1;-;4790
313890 MACHACALIS;2339;1;4;-;4;-;2348
313900 MACHADO;12067;3;21;-;3;-;12094
313910 MADRE DE DEUS DE MINAS;1265;2;1;-;1;-;1269
313920 MALACACHETA;6688;7;148;-;12;1;6856
313925 MAMONAS;1284;4;3;-;1;-;1292
313930 MANGA;8608;5;39;-;4;-;8656
313940 MANHUACU;31678;34;20;-;-;1;31733
313950 MANHUMIRIM;7444;5;5;-;2;-;7456
313960 MANTENA;8380;7;7;-;3;-;8397
313970 MARAVILHAS;1957;9;1;-;7;-;1974
313980 MAR DE ESPANHA;3317;8;1;-;11;1;3338
313990 MARIA DA FE;4361;6;8;-;5;-;4380
314000 MARIANA;19715;14;13;-;3;-;19745
314010 MARILAC;1309;8;31;-;10;-;1358
314015 MARIO CAMPOS;4532;8;6;-;11;1;4558
314020 MARIPA DE MINAS;685;3;1;-;4;-;693
314030 MARLIERIA;1101;-;1;-;3;-;1105
314040 MARMELOPOLIS;849;2;1;-;1;-;853
314050 MARTINHO CAMPOS;3340;4;4;-;4;-;3352
314053 MARTINS SOARES;2790;3;-;-;-;-;2793
314055 MATA VERDE;2247;15;62;-;176;-;2500
314060 MATERLANDIA;1259;3;15;-;5;-;1282
314070 MATEUS LEME;9651;24;6;-;13;-;9694
314080 MATIAS BARBOSA;3540;13;14;-;9;-;3576
314085 MATIAS CARDOSO;3014;67;62;-;35;-;3178
314090 MATIPO;7090;5;8;-;2;-;7105
314100 MATO VERDE;3510;138;5;-;22;-;3675
314110 MATOZINHOS;11282;7;6;-;3;-;11298
314120 MATUTINA;895;1;2;-;-;-;898
314130 MEDEIROS;846;-;1;-;-;-;847
314140 MEDINA;6627;3;16;-;3;-;6649
314150 MENDES PIMENTEL;1629;-;1;-;1;-;1631
314160 MERCES;2519;-;4;-;4;-;2527
314170 MESQUITA;1718;1;8;-;5;-;1732
314180 MINAS NOVAS;8405;7;424;-;5;1;8842
314190 MINDURI;1057;1;4;-;1;-;1063
314200 MIRABELA;4422;3;4;-;1;1;4431
314210 MIRADOURO;2474;22;2;-;3;1;2502
314220 MIRAI;3785;5;3;-;-;-;3793
314225 MIRAVANIA;1258;9;9;-;7;-;1283
314230 MOEDA;1208;3;2;-;1;1;1215
314240 MOEMA;2070;1;1;-;2;-;2074
314250 MONJOLOS;616;6;3;-;2;-;627
314260 MONSENHOR PAULO;1901;1;1;-;-;-;1903
314270 MONTALVANIA;5259;8;11;-;4;-;5282
314280 MONTE ALEGRE DE MINAS;5046;2;2;-;3;-;5053
314290 MONTE AZUL;6503;5;27;-;3;-;6538
314300 MONTE BELO;3412;1;4;-;-;-;3417
314310 MONTE CARMELO;14640;27;4;-;2;-;14673
314315 MONTE FORMOSO;1318;11;235;-;38;-;1602
314320 MONTE SANTO DE MINAS;5499;42;6;-;4;-;5551
314330 MONTES CLAROS;137120;78;146;-;38;1;137383
314340 MONTE SIAO;4636;18;120;-;4;1;4779
314345 MONTEZUMA;1750;80;25;-;21;1;1877
314350 MORADA NOVA DE MINAS;2072;5;11;-;5;-;2093
314360 MORRO DA GARCA;774;-;4;-;-;-;778
314370 MORRO DO PILAR;739;6;5;-;7;1;758
314380 MUNHOZ;1244;2;21;-;10;-;1277
314390 MURIAE;29833;557;6;-;3;6;30405
314400 MUTUM;8705;2;8;-;5;-;8720
314410 MUZAMBINHO;5972;2;-;-;-;-;5974
314420 NACIP RAYDAN;707;14;6;-;8;-;735
314430 NANUQUE;13592;11;45;-;12;-;13660
314435 NAQUE;2277;-;8;-;9;-;2294
314437 NATALANDIA;922;-;1;-;3;-;926
314440 NATERCIA;952;6;-;-;3;-;961
314450 NAZARENO;2115;2;5;-;3;-;2125
314460 NEPOMUCENO;7328;3;6;-;1;-;7338
314465 NINHEIRA;2443;66;9;-;5;1;2524
314467 NOVA BELEM;1196;4;12;-;2;-;1214
314470 NOVA ERA;5586;3;2;-;7;1;5599
314480 NOVA LIMA;27727;29;57;-;12;1;27826
314490 NOVA MODICA;964;30;4;-;56;-;1054
314500 NOVA PONTE;3938;1;1;-;7;-;3947
314505 NOVA PORTEIRINHA;2489;3;5;-;-;-;2497
314510 NOVA RESENDE;4897;6;1;-;2;-;4906
314520 NOVA SERRANA;29640;70;26;-;8;-;29744
314530 NOVO CRUZEIRO;10823;12;965;-;42;1;11843
314535 NOVO ORIENTE DE MINAS;2862;5;169;-;29;-;3065
314537 NOVORIZONTE;1460;12;4;-;2;-;1478
314540 OLARIA;447;-;1;-;1;1;450
314545 OLHOS-D'AGUA;1801;6;21;-;3;-;1831
314550 OLIMPIO NORONHA;721;4;-;-;-;-;725
314560 OLIVEIRA;10765;7;2;-;3;1;10778
314570 OLIVEIRA FORTES;399;-;1;-;-;-;400
314580 ONCA DE PITANGUI;673;-;1;-;-;-;674
314585 ORATORIOS;1398;-;5;-;-;-;1403
314587 ORIZANIA;2649;1;2;-;-;-;2652
314590 OURO BRANCO;11339;9;10;-;7;-;11365
314600 OURO FINO;7546;22;3;-;4;-;7575
314610 OURO PRETO;20019;17;46;-;14;-;20096
314620 OURO VERDE DE MINAS;2302;6;76;-;26;1;2411
314625 PADRE CARVALHO;1903;-;1;-;2;-;1906
314630 PADRE PARAISO;7210;1;40;-;8;-;7259
314640 PAINEIRAS;898;3;2;-;3;-;906
314650 PAINS;2030;3;1;-;1;-;2035
314655 PAI PEDRO;1484;2;75;-;8;-;1569
314660 PAIVA;323;1;-;-;1;-;325
314670 PALMA;1297;47;6;-;10;64;1424
314675 PALMOPOLIS;1889;23;71;-;5;-;1988
314690 PAPAGAIOS;4630;46;7;-;27;1;4711
314700 PARACATU;30725;21;57;-;20;3;30826
314710 PARA DE MINAS;26476;23;28;-;16;-;26543
314720 PARAGUACU;5797;13;8;-;5;-;5823
314730 PARAISOPOLIS;5326;29;26;-;3;4;5388
314740 PARAOPEBA;7132;13;14;-;13;-;7172
314750 PASSABEM;385;-;1;-;2;-;388
314760 PASSA QUATRO;4601;5;9;-;-;-;4615
314770 PASSA TEMPO;1599;-;5;-;3;-;1607
314780 PASSA-VINTE;446;2;5;-;2;-;455
314790 PASSOS;33102;100;31;-;3;1;33237
314795 PATIS;1514;3;11;-;4;-;1532
314800 PATOS DE MINAS;41356;33;31;-;16;-;41436
314810 PATROCINIO;28221;11;25;-;6;-;28263
314820 PATROCINIO DO MURIAE;1091;44;1;-;-;1;1137
314830 PAULA CANDIDO;2454;3;9;-;3;-;2469
314840 PAULISTAS;1348;32;60;-;-;-;1440
314850 PAVAO;2499;2;9;-;15;1;2526
314860 PECANHA;5976;10;33;-;3;-;6022
314870 PEDRA AZUL;8543;2;65;-;18;1;8629
314875 PEDRA BONITA;2546;5;16;-;-;-;2567
314880 PEDRA DO ANTA;875;3;3;-;-;-;881
314890 PEDRA DO INDAIA;823;2;2;-;3;-;830
314900 PEDRA DOURADA;707;-;-;-;2;-;709
314910 PEDRALVA;3218;-;15;-;5;-;3238
314915 PEDRAS DE MARIA DA CRUZ;3038;2;23;-;13;-;3076
314920 PEDRINOPOLIS;883;1;2;-;1;-;887
314930 PEDRO LEOPOLDO;18191;5;17;-;1;-;18214
314940 PEDRO TEIXEIRA;428;-;1;-;-;-;429
314950 PEQUERI;805;2;-;-;2;-;809
314960 PEQUI;1099;1;1;-;7;-;1108
314970 PERDIGAO;2837;11;7;-;9;-;2864
314980 PERDIZES;4353;5;7;-;3;-;4368
314990 PERDOES;4675;2;5;-;7;-;4689
314995 PERIQUITO;2480;1;18;-;18;-;2517
315000 PESCADOR;1210;25;4;-;15;-;1254
315010 PIAU;611;1;6;-;-;-;618
315015 PIEDADE DE CARATINGA;2884;15;6;-;2;-;2907
315020 PIEDADE DE PONTE NOVA;1331;1;5;-;7;-;1344
315030 PIEDADE DO RIO GRANDE;1104;3;8;-;14;1;1130
315040 PIEDADE DOS GERAIS;1062;7;2;-;4;1;1076
315050 PIMENTA;1816;3;2;-;-;-;1821
315053 PINGO-D'AGUA;1399;-;5;-;1;-;1405
315057 PINTOPOLIS;1880;6;269;-;23;1;2179
315060 PIRACEMA;1427;1;4;-;3;-;1435
315070 PIRAJUBA;1354;11;2;-;4;-;1371
315080 PIRANGA;4561;7;49;-;18;-;4635
315090 PIRANGUCU;1393;1;3;-;-;-;1397
315100 PIRANGUINHO;2534;1;7;-;1;-;2543
315110 PIRAPETINGA;3512;5;1;-;-;-;3518
315120 PIRAPORA;20196;7;22;-;4;1;20230
315130 PIRAUBA;2966;5;-;-;2;1;2974
315140 PITANGUI;8304;5;6;-;20;-;8335
315150 PIUMHI;9697;41;9;-;1;-;9748
315160 PLANURA;2854;7;4;-;2;-;2867
315170 POCO FUNDO;4040;7;6;-;1;-;4054
315180 POCOS DE CALDAS;43525;25;164;-;1045;-;44759
315190 POCRANE;2223;8;1;-;-;-;2232
315200 POMPEU;9928;8;13;-;7;-;9956
315210 PONTE NOVA;17146;17;22;-;4;1;17190
315213 PONTO CHIQUE;1168;13;84;-;8;-;1273
315217 PONTO DOS VOLANTES;3565;-;117;-;15;-;3697
315220 PORTEIRINHA;11756;4;20;-;7;-;11787
315230 PORTO FIRME;2291;2;1;-;2;-;2296
315240 POTE;4608;4;18;-;13;-;4643
315250 POUSO ALEGRE;41196;146;70;-;17;1;41430
315260 POUSO ALTO;1584;-;-;-;-;-;1584
315270 PRADOS;2302;1;4;-;-;-;2307
315280 PRATA;7990;24;8;-;5;-;8027
315290 PRATAPOLIS;1955;13;1;-;-;-;1969
315300 PRATINHA;775;1;-;-;5;-;781
315310 PRESIDENTE BERNARDES;1211;1;6;-;1;-;1219
315320 PRESIDENTE JUSCELINO;981;4;8;-;2;-;995
315330 PRESIDENTE KUBITSCHEK;1087;1;4;-;3;-;1095
315340 PRESIDENTE OLEGARIO;4837;8;8;-;7;-;4860
315350 ALTO JEQUITIBA;2609;1;1;-;-;-;2611
315360 PRUDENTE DE MORAIS;3216;1;2;-;2;-;3221
315370 QUARTEL GERAL;789;-;2;-;-;-;791
315380 QUELUZITO;390;1;2;-;-;-;393
315390 RAPOSOS;4645;4;9;-;-;-;4658
315400 RAUL SOARES;6465;11;18;-;8;-;6502
315410 RECREIO;2340;6;1;-;-;-;2347
315415 REDUTO;2458;6;3;-;-;-;2467
315420 RESENDE COSTA;3092;4;-;-;-;-;3096
315430 RESPLENDOR;5242;2;16;-;2;-;5262
315440 RESSAQUINHA;1375;1;3;-;1;-;1380
315445 RIACHINHO;1854;102;21;-;23;-;2000
315450 RIACHO DOS MACHADOS;2984;11;179;-;9;1;3184
315460 RIBEIRAO DAS NEVES;105546;94;316;-;163;9;106128
315470 RIBEIRAO VERMELHO;928;-;-;-;-;-;928
315480 RIO ACIMA;2807;2;3;-;1;-;2813
315490 RIO CASCA;4487;1;19;-;12;-;4519
315500 RIO DOCE;534;-;2;-;3;-;539
315510 RIO DO PRADO;1399;2;26;-;2;1;1430
315520 RIO ESPERA;1216;3;10;-;4;-;1233
315530 RIO MANSO;1002;1;9;-;3;2;1017
315540 RIO NOVO;2180;6;4;-;8;2;2200
315550 RIO PARANAIBA;3231;5;3;-;13;-;3252
315560 RIO PARDO DE MINAS;9878;5;6;-;1;-;9890
315570 RIO PIRACICABA;3815;2;4;-;1;1;3823
315580 RIO POMBA;4469;1;5;-;2;-;4477
315590 RIO PRETO;1158;1;1;-;4;1;1165
315600 RIO VERMELHO;4303;10;8;-;4;-;4325
315610 RITAPOLIS;1097;-;1;-;-;-;1098
315620 ROCHEDO DE MINAS;612;-;1;-;1;-;614
315630 RODEIRO;2258;2;2;-;2;-;2264
315640 ROMARIA;812;-;-;-;-;-;812
315645 ROSARIO DA LIMEIRA;1172;12;-;-;-;-;1184
315650 RUBELITA;1911;1;45;-;1;-;1958
315660 RUBIM;2804;3;21;-;9;-;2837
315670 SABARA;40761;52;106;-;66;1;40986
315680 SABINOPOLIS;4768;5;17;-;-;-;4790
315690 SACRAMENTO;7184;7;14;-;7;-;7212
315700 SALINAS;12847;7;16;-;12;-;12882
315710 SALTO DA DIVISA;1954;4;6;-;3;-;1967
315720 SANTA BARBARA;9509;3;4;-;5;1;9522
315725 SANTA BARBARA DO LESTE;2672;11;8;-;-;-;2691
315727 SANTA BARBARA DO MONTE VERDE;690;2;3;-;8;-;703
315730 SANTA BARBARA DO TUGURIO;1057;2;3;-;-;-;1062
315733 SANTA CRUZ DE MINAS;2265;-;1;-;-;-;2266
315737 SANTA CRUZ DE SALINAS;1239;3;50;-;4;-;1296
315740 SANTA CRUZ DO ESCALVADO;1188;-;2;-;3;-;1193
315750 SANTA EFIGENIA DE MINAS;1457;3;6;-;17;-;1483
315760 SANTA FE DE MINAS;864;203;39;-;5;-;1111
315765 SANTA HELENA DE MINAS;2057;1;222;-;28;2;2310
315770 SANTA JULIANA;3742;6;3;-;-;-;3751
315780 SANTA LUZIA;72798;68;161;-;88;17;73132
315790 SANTA MARGARIDA;5495;8;19;-;-;-;5522
315800 SANTA MARIA DE ITABIRA;3326;1;14;-;4;-;3345
315810 SANTA MARIA DO SALTO;1046;194;31;-;7;1;1279
315820 SANTA MARIA DO SUACUI;4729;9;100;-;3;-;4841
315830 SANTANA DA VARGEM;1921;1;3;-;-;-;1925
315840 SANTANA DE CATAGUASES;732;-;3;-;-;-;735
315850 SANTANA DE PIRAPAMA;1613;2;5;-;4;1;1625
315860 SANTANA DO DESERTO;834;3;9;-;2;-;848
315870 SANTANA DO GARAMBEU;601;2;1;-;1;-;605
315880 SANTANA DO JACARE;1226;2;1;-;1;-;1230
315890 SANTANA DO MANHUACU;2975;4;16;-;-;-;2995
315895 SANTANA DO PARAISO;11019;2;16;-;12;-;11049
315900 SANTANA DO RIACHO;966;1;6;-;9;2;984
315910 SANTANA DOS MONTES;952;-;11;-;4;-;967
315920 SANTA RITA DE CALDAS;1884;10;3;-;9;-;1906
315930 SANTA RITA DE JACUTINGA;1019;4;2;-;1;2;1028
315935 SANTA RITA DE MINAS;2237;12;3;-;1;-;2253
315940 SANTA RITA DE IBITIPOCA;919;5;6;-;4;-;934
315950 SANTA RITA DO ITUETO;1856;1;3;-;9;-;1869
315960 SANTA RITA DO SAPUCAI;11752;13;12;-;2;-;11779
315970 SANTA ROSA DA SERRA;835;2;3;-;2;-;842
315980 SANTA VITORIA;5424;4;2;-;1;-;5431
315990 SANTO ANTONIO DO AMPARO;5328;8;4;-;2;-;5342
316000 SANTO ANTONIO DO AVENTUREIRO;633;3;1;-;1;-;638
316010 SANTO ANTONIO DO GRAMA;1215;-;9;-;4;-;1228
316020 SANTO ANTONIO DO ITAMBE;1196;1;20;-;6;-;1223
316030 SANTO ANTONIO DO JACINTO;2764;87;254;-;25;-;3130
316040 SANTO ANTONIO DO MONTE;8073;10;1;-;-;1;8085
316045 SANTO ANTONIO DO RETIRO;2024;70;16;-;6;-;2116
316050 SANTO ANTONIO DO RIO ABAIXO;447;3;5;-;4;1;460
316060 SANTO HIPOLITO;814;3;7;-;1;-;825
316070 SANTOS DUMONT;13058;8;9;-;3;7;13085
316080 SAO BENTO ABADE;1716;1;2;-;-;-;1719
316090 SAO BRAS DO SUACUI;818;1;1;-;1;-;821
316095 SAO DOMINGOS DAS DORES;1971;5;2;-;-;-;1978
316100 SAO DOMINGOS DO PRATA;4326;1;12;-;7;1;4347
316105 SAO FELIX DE MINAS;933;1;2;-;-;-;936
316110 SAO FRANCISCO;20450;16;78;-;44;-;20588
316120 SAO FRANCISCO DE PAULA;1642;-;1;-;2;-;1645
316130 SAO FRANCISCO DE SALES;1340;3;1;-;-;-;1344
316140 SAO FRANCISCO DO GLORIA;1280;6;2;-;1;-;1289
316150 SAO GERALDO;2139;8;7;-;-;-;2154
316160 SAO GERALDO DA PIEDADE;1250;2;19;-;6;-;1277
316165 SAO GERALDO DO BAIXIO;888;5;1;-;6;1;901
316170 SAO GONCALO DO ABAETE;1580;19;15;-;11;-;1625
316180 SAO GONCALO DO PARA;2966;3;12;-;6;-;2987
316190 SAO GONCALO DO RIO ABAIXO;2956;24;4;-;10;1;2995
316200 SAO GONCALO DO SAPUCAI;8058;2;8;-;1;-;8069
316210 SAO GOTARDO;13149;14;21;-;7;-;13191
316220 SAO JOAO BATISTA DO GLORIA;1876;9;1;-;1;-;1887
316225 SAO JOAO DA LAGOA;1126;2;9;-;-;-;1137
316230 SAO JOAO DA MATA;659;1;1;-;-;-;661
316240 SAO JOAO DA PONTE;7080;14;25;-;41;-;7160
316245 SAO JOAO DAS MISSOES;5041;45;344;-;51;1;5482
316250 SAO JOAO DEL REI;23244;5;12;-;4;-;23265
316255 SAO JOAO DO MANHUACU;3936;8;4;-;-;-;3948
316257 SAO JOAO DO MANTENINHA;1654;1;1;-;3;-;1659
316260 SAO JOAO DO ORIENTE;2387;10;7;-;6;-;2410
316265 SAO JOAO DO PACUI;1027;-;8;-;1;-;1036
316270 SAO JOAO DO PARAISO;6636;3;5;-;3;-;6647
316280 SAO JOAO EVANGELISTA;4798;10;16;-;-;-;4824
316290 SAO JOAO NEPOMUCENO;6959;1;4;-;4;-;6968
316292 SAO JOAQUIM DE BICAS;8227;19;31;-;18;-;8295
316294 SAO JOSE DA BARRA;1868;18;6;-;5;-;1897
316295 SAO JOSE DA LAPA;6838;7;13;-;8;-;6866
316300 SAO JOSE DA SAFIRA;1417;37;18;-;22;-;1494
316310 SAO JOSE DA VARGINHA;1033;-;1;-;1;-;1035
316320 SAO JOSE DO ALEGRE;1155;-;1;-;-;-;1156
316330 SAO JOSE DO DIVINO;1001;22;38;-;6;-;1067
316340 SAO JOSE DO GOIABAL;1478;5;5;-;12;-;1500
316350 SAO JOSE DO JACURI;1731;25;23;-;4;-;1783
316360 SAO JOSE DO MANTIMENTO;919;1;1;-;-;-;921
316370 SAO LOURENCO;12584;3;18;-;2;-;12607
316380 SAO MIGUEL DO ANTA;1659;1;1;-;1;-;1662
316390 SAO PEDRO DA UNIAO;1030;1;1;-;1;-;1033
316400 SAO PEDRO DOS FERROS;2160;2;4;-;2;-;2168
316410 SAO PEDRO DO SUACUI;1483;1;5;-;-;-;1489
316420 SAO ROMAO;2934;5;10;-;7;1;2957
316430 SAO ROQUE DE MINAS;1535;10;2;-;3;-;1550
316440 SAO SEBASTIAO DA BELA VISTA;1599;1;4;-;4;-;1608
316443 SAO SEBASTIAO DA VARGEM ALEGRE;726;3;1;-;-;-;730
316447 SAO SEBASTIAO DO ANTA;2120;3;7;-;-;-;2130
316450 SAO SEBASTIAO DO MARANHAO;2894;49;148;-;3;-;3094
316460 SAO SEBASTIAO DO OESTE;2056;8;5;-;4;-;2073
316470 SAO SEBASTIAO DO PARAISO;21072;17;22;-;5;5;21121
316480 SAO SEBASTIAO DO RIO PRETO;361;3;5;-;1;-;370
316490 SAO SEBASTIAO DO RIO VERDE;492;-;-;-;-;-;492
316500 SAO TIAGO;2864;3;3;-;-;-;2870
316510 SAO TOMAS DE AQUINO;2097;1;4;-;8;-;2110
316520 SAO THOME DAS LETRAS;1669;5;36;-;1;-;1711
316530 SAO VICENTE DE MINAS;1992;4;-;-;-;-;1996
316540 SAPUCAI-MIRIM;1352;123;505;-;2;-;1982
316550 SARDOA;1775;9;18;-;7;-;1809
316553 SARZEDO;10008;5;10;-;17;1;10041
316555 SETUBINHA;3712;72;442;-;57;1;4284
316556 SEM-PEIXE;515;-;1;-;3;-;519
316557 SENADOR AMARAL;2182;5;7;-;7;-;2201
316560 SENADOR CORTES;644;-;-;-;3;-;647
316570 SENADOR FIRMINO;1942;4;2;-;3;1;1952
316580 SENADOR JOSE BENTO;319;1;2;-;2;-;324
316590 SENADOR MODESTINO GONCALVES;1183;2;18;-;9;-;1212
316600 SENHORA DE OLIVEIRA;1453;3;6;-;4;-;1466
316610 SENHORA DO PORTO;1076;1;2;-;1;-;1080
316620 SENHORA DOS REMEDIOS;2419;9;14;-;7;-;2449
316630 SERICITA;2595;2;11;-;2;-;2610
316640 SERITINGA;463;2;-;-;-;-;465
316650 SERRA AZUL DE MINAS;1306;2;72;-;7;1;1388
316660 SERRA DA SAUDADE;153;-;-;-;-;-;153
316670 SERRA DOS AIMORES;2658;1;6;-;9;-;2674
316680 SERRA DO SALITRE;3532;4;7;-;7;-;3550
316690 SERRANIA;2468;4;3;-;-;-;2475
316695 SERRANOPOLIS DE MINAS;1246;1;22;-;12;2;1283
316700 SERRANOS;555;1;-;-;-;-;556
316710 SERRO;6972;4;37;-;16;-;7029
316720 SETE LAGOAS;66138;44;51;-;16;-;66249
316730 SILVEIRANIA;526;-;4;-;-;-;530
316740 SILVIANOPOLIS;1464;2;4;-;2;-;1472
316750 SIMAO PEREIRA;683;-;4;-;5;-;692
316760 SIMONESIA;6677;9;9;-;1;-;6696
316770 SOBRALIA;1519;1;8;-;7;-;1535
316780 SOLEDADE DE MINAS;1491;-;18;-;-;-;1509
316790 TABULEIRO;1008;-;3;-;2;-;1013
316800 TAIOBEIRAS;11242;5;32;-;-;-;11279
316805 TAPARUBA;941;-;-;-;-;-;941
316810 TAPIRA;1051;2;-;-;-;-;1053
316820 TAPIRAI;345;-;-;-;-;-;345
316830 TAQUARACU DE MINAS;849;-;2;-;2;-;853
316840 TARUMIRIM;3532;6;13;-;6;-;3557
316850 TEIXEIRAS;2944;4;1;-;1;-;2950
316860 TEOFILO OTONI;47423;13;239;-;62;1;47738
316870 TIMOTEO;23566;20;10;-;4;-;23600
316880 TIRADENTES;1896;-;2;-;1;-;1899
316890 TIROS;1632;5;5;-;9;-;1651
316900 TOCANTINS;4294;4;4;-;2;-;4304
316905 TOCOS DO MOJI;764;9;2;-;2;-;777
316910 TOLEDO;1413;7;60;-;5;-;1485
316920 TOMBOS;2455;4;1;-;2;-;2462
316930 TRES CORACOES;24584;20;39;-;2;-;24645
316935 TRES MARIAS;9000;6;13;-;8;1;9028
316940 TRES PONTAS;17748;4;3;-;1;-;17756
316950 TUMIRITINGA;1848;30;7;-;7;-;1892
316960 TUPACIGUARA;5898;27;6;-;25;-;5956
316970 TURMALINA;5596;10;7;-;1;-;5614
316980 TURVOLANDIA;1263;5;2;-;3;-;1273
316990 UBA;29697;26;32;-;15;-;29770
317000 UBAI;3406;223;40;-;9;-;3678
317005 UBAPORANGA;3635;9;5;-;-;-;3649
317010 UBERABA;89493;85;108;-;16;3;89705
317020 UBERLANDIA;199973;445;422;-;96;2;200938
317030 UMBURATIBA;936;3;14;-;-;-;953
317040 UNAI;27780;39;25;-;14;1;27859
317043 UNIAO DE MINAS;1113;8;-;-;-;-;1121
317047 URUANA DE MINAS;826;5;3;-;2;-;836
317050 URUCANIA;3248;5;12;-;6;-;3271
317052 URUCUIA;3480;3;23;-;5;-;3511
317057 VARGEM ALEGRE;1803;7;1;-;1;-;1812
317060 VARGEM BONITA;502;-;1;-;1;-;504
317065 VARGEM GRANDE DO RIO PARDO;1433;3;21;-;2;-;1459
317070 VARGINHA;39808;10;8;-;2;2;39830
317075 VARJAO DE MINAS;2125;26;1;-;9;-;2161
317080 VARZEA DA PALMA;11477;353;13;-;37;18;11898
317090 VARZELANDIA;6745;10;36;-;7;-;6798
317100 VAZANTE;5985;14;1;-;3;-;6003
317103 VERDELANDIA;3313;3;94;-;9;1;3420
317107 VEREDINHA;1339;2;10;-;1;-;1352
317110 VERISSIMO;790;2;1;-;3;-;796
317115 VERMELHO NOVO;1319;8;-;-;-;-;1327
317120 VESPASIANO;38757;40;81;-;62;-;38940
