 Nascidos vivos - Brasil;;;;;;;;;;
Nascim p/resid.mãe por Município e Instrução da mãe;;;;;;;;;;
Período:2000-2022;;;;;;;;;;
Município;Nenhuma;1 a 3 anos;4 a 7 anos;8 a 11 anos;12 anos e mais;9 a 11 anos;1º grau incompleto;1º grau completo;Ignorado;Total
317030 UMBURATIBA;27;79;305;448;67;-;-;1;26;953
317040 UNAI;167;1425;6272;14196;5350;1;1;-;447;27859
317043 UNIAO DE MINAS;18;62;328;527;142;-;-;-;44;1121
317047 URUANA DE MINAS;6;43;234;431;112;-;-;-;10;836
317050 URUCANIA;73;445;1011;1476;250;-;-;-;16;3271
317052 URUCUIA;54;546;1046;1577;218;-;-;-;70;3511
317057 VARGEM ALEGRE;27;151;666;751;190;-;-;-;27;1812
317060 VARGEM BONITA;2;77;133;239;52;-;-;-;1;504
317065 VARGEM GRANDE DO RIO PARDO;72;168;306;726;172;-;-;-;15;1459
317070 VARGINHA;120;1673;8471;18716;9796;-;1;-;1053;39830
317075 VARJAO DE MINAS;22;81;580;1182;280;-;-;-;16;2161
317080 VARZEA DA PALMA;185;1115;4328;5216;841;-;-;-;213;11898
317090 VARZELANDIA;243;817;1850;2937;523;-;-;-;428;6798
317100 VAZANTE;27;162;1126;3280;1342;-;-;-;66;6003
317103 VERDELANDIA;198;434;1018;1497;216;-;-;-;57;3420
317107 VEREDINHA;25;119;331;608;220;-;-;-;49;1352
317110 VERISSIMO;7;40;245;353;62;-;-;-;89;796
317115 VERMELHO NOVO;18;172;472;527;123;-;-;-;15;1327
317120 VESPASIANO;184;2211;9666;22601;4061;-;-;-;217;38940
317130 VICOSA;56;980;5419;9765;5482;-;-;-;289;21991
317140 VIEIRAS;9;65;257;297;90;-;-;-;170;888
317150 MATHIAS LOBATO;29;131;376;513;75;-;-;-;14;1138
317160 VIRGEM DA LAPA;79;396;946;1615;399;-;-;-;276;3711
317170 VIRGINIA;26;185;673;1203;241;-;-;-;18;2346
317180 VIRGINOPOLIS;28;328;1123;1416;358;-;-;-;99;3352
317190 VIRGOLANDIA;41;211;406;583;98;-;-;-;58;1397
317200 VISCONDE DO RIO BRANCO;95;1148;3380;4857;2111;-;-;-;172;11763
317210 VOLTA GRANDE;21;159;385;589;149;-;-;-;17;1320
317220 WENCESLAU BRAZ;8;58;197;298;90;-;-;-;12;663
 MUNICIPIO IGNORADO - ES;-;4;13;34;12;-;-;-;5;68
320010 AFONSO CLAUDIO;148;981;3856;3912;1409;-;-;-;6;10312
320013 AGUIA BRANCA;32;215;784;1278;428;-;-;-;56;2793
320016 AGUA DOCE DO NORTE;56;267;1042;1960;422;-;-;-;53;3800
320020 ALEGRE;157;629;2607;4259;1688;-;-;-;103;9443
320030 ALFREDO CHAVES;25;265;865;1463;560;-;-;-;38;3216
320035 ALTO RIO NOVO;43;226;790;961;298;-;-;-;131;2449
320040 ANCHIETA;39;368;2415;4250;1509;-;1;-;97;8679
320050 APIACA;13;158;613;874;260;-;-;-;21;1939
320060 ARACRUZ;161;1094;6928;17315;5815;-;1;-;106;31420
320070 ATILIO VIVACQUA;10;103;754;1672;364;1;-;-;66;2970
320080 BAIXO GUANDU;114;651;2466;4543;1291;-;-;-;274;9339
320090 BARRA DE SAO FRANCISCO;146;892;4080;7462;2234;-;2;-;192;15008
320100 BOA ESPERANCA;102;391;1503;2191;586;-;-;-;54;4827
320110 BOM JESUS DO NORTE;12;129;585;1215;454;-;1;-;17;2413
320115 BREJETUBA;187;622;1704;1760;485;-;-;-;11;4769
320120 CACHOEIRO DE ITAPEMIRIM;300;2191;15847;34148;11258;-;4;-;1186;64934
320130 CARIACICA;672;4244;36597;75728;17127;3;2;1;1614;135988
320140 CASTELO;60;887;2721;4791;1860;-;1;-;113;10433
320150 COLATINA;150;1114;8598;15652;6812;-;-;-;3102;35428
320160 CONCEICAO DA BARRA;155;713;2965;5208;1311;-;1;-;176;10529
320170 CONCEICAO DO CASTELO;77;340;1303;1592;635;-;-;-;8;3955
320180 DIVINO DE SAO LOURENCO;51;211;552;522;129;-;-;-;20;1485
320190 DOMINGOS MARTINS;80;1482;3974;4039;1345;-;-;-;77;10997
320200 DORES DO RIO PRETO;34;202;614;774;182;-;-;-;24;1830
320210 ECOPORANGA;84;460;2252;3457;1125;-;-;-;375;7753
320220 FUNDAO;72;361;1785;2653;836;-;-;-;50;5757
320225 GOVERNADOR LINDENBERG;13;103;790;1157;362;-;-;-;194;2619
320230 GUACUI;173;1111;3232;4336;1221;-;-;-;148;10221
320240 GUARAPARI;230;2355;11110;18100;6147;-;3;-;539;38484
320245 IBATIBA;148;971;3007;3140;870;-;-;-;113;8249
320250 IBIRACU;10;126;818;1892;621;-;-;-;18;3485
320255 IBITIRAMA;128;531;1482;1172;333;-;-;-;51;3697
320260 ICONHA;17;116;857;1544;656;-;-;-;24;3214
320265 IRUPI;110;511;1540;1347;459;-;-;-;22;3989
320270 ITAGUACU;64;333;1160;1576;477;-;-;-;85;3695
320280 ITAPEMIRIM;80;778;3779;5641;1529;-;-;-;237;12044
320290 ITARANA;45;339;962;1048;448;-;-;-;63;2905
320300 IUNA;298;1162;3695;3162;1211;-;-;-;75;9603
320305 JAGUARE;186;786;3754;4330;1197;-;-;-;83;10336
320310 JERONIMO MONTEIRO;29;136;912;1611;396;-;-;-;47;3131
320313 JOAO NEIVA;25;224;1096;2255;1000;-;1;-;39;4640
320316 LARANJA DA TERRA;18;222;837;1012;274;-;-;-;22;2385
320320 LINHARES;654;2930;14542;29171;8602;-;-;-;348;56247
320330 MANTENOPOLIS;66;427;1300;1812;467;-;-;-;199;4271
320332 MARATAIZES;73;694;3656;5388;1886;-;-;-;242;11939
320334 MARECHAL FLORIANO;31;580;1479;2196;572;-;-;-;38;4896
320335 MARILANDIA;22;142;853;1204;452;-;-;-;298;2971
320340 MIMOSO DO SUL;93;607;2569;2897;930;-;1;-;141;7238
320350 MONTANHA;54;333;1898;2714;1142;-;-;-;125;6266
320360 MUCURICI;24;127;600;917;226;-;-;-;37;1931
320370 MUNIZ FREIRE;165;621;2350;2240;699;-;-;-;71;6146
320380 MUQUI;45;218;1081;2163;568;-;-;-;227;4302
320390 NOVA VENECIA;154;1009;4280;7724;2506;-;-;-;131;15804
320400 PANCAS;110;527;2147;2380;679;-;-;-;234;6077
320405 PEDRO CANARIO;209;932;2998;4024;1220;-;1;-;210;9594
320410 PINHEIROS;97;515;2840;4267;1004;-;-;-;93;8816
320420 PIUMA;40;231;1688;3222;1060;-;-;-;50;6291
320425 PONTO BELO;19;113;546;1107;298;-;-;-;19;2102
320430 PRESIDENTE KENNEDY;24;194;873;1731;577;-;-;-;64;3463
320435 RIO BANANAL;89;395;1928;2465;728;-;-;-;40;5645
320440 RIO NOVO DO SUL;25;198;897;1481;441;-;-;-;38;3080
320450 SANTA LEOPOLDINA;36;245;1054;1217;332;-;1;-;52;2937
320455 SANTA MARIA DE JETIBA;48;495;5757;5411;1377;-;-;-;83;13171
320460 SANTA TERESA;70;425;2337;3016;1034;-;-;-;57;6939
320465 SAO DOMINGOS DO NORTE;49;230;770;1051;368;-;-;-;122;2590
320470 SAO GABRIEL DA PALHA;141;802;3065;4562;1548;-;-;-;153;10271
320480 SAO JOSE DO CALCADO;44;243;1042;1524;489;-;-;-;22;3364
320490 SAO MATEUS;421;2183;11804;20150;6842;-;2;-;269;41671
320495 SAO ROQUE DO CANAA;20;114;736;1047;406;-;-;1;314;2638
320500 SERRA;840;5267;38518;92926;27424;3;1;-;1839;166818
320501 SOORETAMA;221;743;3443;5000;887;-;-;-;61;10355
320503 VARGEM ALTA;58;626;2089;2763;743;-;-;-;143;6422
320506 VENDA NOVA DO IMIGRANTE;52;348;2013;2871;1585;-;-;-;12;6881
320510 VIANA;109;745;6262;13682;2547;-;-;-;288;23633
320515 VILA PAVAO;27;173;776;1150;342;-;-;-;42;2510
320517 VILA VALERIO;52;472;1541;1827;498;-;-;-;52;4442
320520 VILA VELHA;470;4298;27329;71260;35549;-;4;-;1243;140153
320530 VITORIA;288;1531;17617;46931;34802;-;1;-;1299;102469
 MUNICIPIO IGNORADO - RJ;13;38;131;142;44;-;-;-;145;513
330010 ANGRA DOS REIS;545;3335;17255;29306;7444;-;-;-;197;58082
330015 APERIBE;18;107;539;1474;621;-;-;-;21;2780
330020 ARARUAMA;390;2471;11238;15731;5555;-;-;-;1227;36612
330022 AREAL;33;246;1019;1762;432;-;-;-;55;3547
330023 ARMACAO DOS BUZIOS;59;510;3346;6432;2259;-;-;-;114;12720
330025 ARRAIAL DO CABO;29;330;2258;4076;1398;-;-;-;133;8224
330030 BARRA DO PIRAI;131;1011;6809;13930;4337;-;-;-;149;26367
330040 BARRA MANSA;127;1465;13331;27756;9344;-;-;-;491;52514
330045 BELFORD ROXO;770;23860;46575;80060;15152;-;4;-;3715;170136
330050 BOM JARDIM;118;810;2629;2460;1120;-;-;-;729;7866
330060 BOM JESUS DO ITABAPOANA;83;703;2699;5729;2240;-;1;-;113;11568
330070 CABO FRIO;421;3874;19734;30506;10146;-;-;-;909;65590
330080 CACHOEIRAS DE MACACU;219;1191;5708;7704;2049;-;-;-;330;17201
330090 CAMBUCI;33;409;962;1594;568;-;-;-;42;3608
330093 CARAPEBUS;8;140;777;1635;635;-;-;-;77;3272
330095 COMENDADOR LEVY GASPARIAN;9;120;820;1397;264;-;-;-;28;2638
330100 CAMPOS DOS GOYTACAZES;1512;10000;47226;77779;28350;2;2;-;2604;167475
330110 CANTAGALO;49;491;1758;2337;1088;-;-;-;38;5761
330115 CARDOSO MOREIRA;22;261;941;1525;558;-;-;-;48;3355
330120 CARMO;59;254;1668;2573;660;-;-;-;29;5243
330130 CASIMIRO DE ABREU;62;562;2920;5731;1874;-;-;-;199;11348
330140 CONCEICAO DE MACABU;56;329;1564;2946;1089;-;-;-;172;6156
330150 CORDEIRO;28;335;1420;3025;1180;-;-;-;46;6034
330160 DUAS BARRAS;40;308;1171;1227;479;-;-;-;65;3290
330170 DUQUE DE CAXIAS;1763;15069;92724;157634;37062;2;6;-;3330;307590
330180 ENGENHEIRO PAULO DE FRONTIN;14;204;865;1574;506;-;-;-;85;3248
330185 GUAPIMIRIM;118;1021;5223;7678;1784;-;1;-;321;16146
330187 IGUABA GRANDE;51;266;1502;3291;1309;-;-;-;69;6488
330190 ITABORAI;496;4232;22829;37825;9520;-;-;-;623;75525
330200 ITAGUAI;230;1880;11216;21330;5597;-;2;-;518;40773
330205 ITALVA;28;261;1118;1732;719;-;1;-;25;3884
330210 ITAOCARA;25;352;1874;2746;1338;-;-;-;140;6475
330220 ITAPERUNA;127;1952;6458;12921;6064;-;-;-;362;27884
330225 ITATIAIA;48;402;2305;4502;1675;-;-;-;137;9069
330227 JAPERI;329;2356;11468;17232;2849;1;4;-;293;34532
330230 LAJE DO MURIAE;18;160;775;957;275;-;-;-;76;2261
330240 MACAE;294;2144;17179;37577;19759;-;-;-;1212;78165
330245 MACUCO;12;140;576;1376;432;-;-;-;16;2552
330250 MAGE;585;6153;25336;39141;8378;-;-;-;559;80152
330260 MANGARATIBA;58;506;3679;5169;1769;-;-;-;389;11570
330270 MARICA;225;1373;8256;18474;7627;1;-;-;684;36640
330280 MENDES;14;194;1220;2253;907;-;-;-;79;4667
330285 MESQUITA;186;2346;12425;28108;8335;-;-;-;488;51888
330290 MIGUEL PEREIRA;72;392;1774;3450;1379;-;-;-;79;7146
330300 MIRACEMA;76;401;2524;4148;1581;-;-;-;240;8970
330310 NATIVIDADE;46;158;1001;2301;905;-;-;-;57;4468
330320 NILOPOLIS;128;1616;10175;25015;10426;-;2;-;464;47826
330330 NITEROI;437;3611;26099;59041;49945;-;-;-;1094;140227
330340 NOVA FRIBURGO;325;2453;15427;22644;11297;-;-;-;821;52967
330350 NOVA IGUACU;1790;17237;75080;145519;38074;1;4;1;2743;280449
330360 PARACAMBI;45;446;3013;6976;1979;-;1;-;153;12613
330370 PARAIBA DO SUL;68;526;3303;6212;1895;-;2;-;190;12196
330380 PARATY;204;1024;4501;5712;2103;-;-;-;148;13692
330385 PATY DO ALFERES;186;796;2833;3782;1027;-;-;-;88;8712
330390 PETROPOLIS;484;4451;26537;41184;18023;-;1;-;1446;92126
330395 PINHEIRAL;37;280;1780;3628;1164;-;-;-;98;6987
330400 PIRAI;49;412;2035;4280;1279;-;1;-;65;8121
330410 PORCIUNCULA;38;302;1590;2502;766;-;-;-;24;5222
330411 PORTO REAL;35;265;1715;3127;902;1;-;-;49;6094
330412 QUATIS;22;245;1149;1938;543;-;-;-;24;3921
330414 QUEIMADOS;390;2959;16612;28113;5581;-;8;-;446;54109
330415 QUISSAMA;42;741;1892;3136;988;-;1;-;266;7066
330420 RESENDE;161;1266;8679;20674;8461;4;3;-;189;39437
330430 RIO BONITO;128;1145;5462;8013;3081;-;-;-;216;18045
330440 RIO CLARO;67;407;1573;2249;589;-;-;-;125;5010
330450 RIO DAS FLORES;26;139;777;1159;379;-;-;-;59;2539
330452 RIO DAS OSTRAS;106;1098;7629;18121;8290;-;-;-;2587;37831
330455 RIO DE JANEIRO;7646;62213;430487;892095;486774;7;70;4;46746;1926042
330460 SANTA MARIA MADALENA;29;273;855;1031;341;-;-;-;80;2609
330470 SANTO ANTONIO DE PADUA;66;652;2816;5655;2278;-;1;-;56;11524
330475 SAO FRANCISCO DE ITABAPOANA;323;1550;4458;5587;1268;-;-;-;211;13397
330480 SAO FIDELIS;105;810;2732;3887;2205;-;-;-;368;10107
330490 SAO GONCALO;941;8146;64204;141678;53753;1;2;-;1137;269862
330500 SAO JOAO DA BARRA;92;739;3342;5294;1380;-;-;-;244;11091
330510 SAO JOAO DE MERITI;531;6015;43660;85864;18263;-;1;-;1369;155703
330513 SAO JOSE DE UBA;10;205;609;1024;441;-;-;-;14;2303
330515 SAO JOSE DO VALE DO RIO PRETO;64;400;1940;2966;870;-;-;-;236;6476
330520 SAO PEDRO DA ALDEIA;173;1235;7695;14735;6042;-;1;-;469;30350
330530 SAO SEBASTIAO DO ALTO;26;235;690;1111;339;-;-;-;51;2452
330540 SAPUCAIA;63;397;1352;1992;528;-;-;-;40;4372
330550 SAQUAREMA;158;1746;6757;10920;3757;-;-;1;417;23756
330555 SEROPEDICA;136;996;6270;13617;3153;1;-;-;301;24474
330560 SILVA JARDIM;81;733;2329;2924;825;-;-;-;114;7006
330570 SUMIDOURO;130;819;1888;1470;409;-;1;-;85;4802
330575 TANGUA;95;741;3425;4496;971;-;-;-;132;9860
330580 TERESOPOLIS;623;3174;16841;24645;8328;-;2;-;541;54154
330590 TRAJANO DE MORAES;34;218;629;1155;285;-;-;-;62;2383
330600 TRES RIOS;108;1086;7497;14099;3504;-;2;-;234;26530
330610 VALENCA;75;1061;5817;9741;4093;-;1;-;352;21140
330615 VARRE-SAI;81;603;1255;1181;494;-;-;-;414;4028
330620 VASSOURAS;109;825;3929;5139;1927;-;-;-;223;12152
330630 VOLTA REDONDA;206;2041;16407;38986;18312;-;2;-;529;76483
 MUNICIPIO IGNORADO - SP;25;22;115;77;44;-;-;-;3425;3708
350010 ADAMANTINA;16;166;1027;4629;2725;-;-;-;55;8618
350020 ADOLFO;1;15;157;534;141;-;-;-;102;950
350030 AGUAI;122;680;2475;5699;1091;-;-;-;245;10312
350040 AGUAS DA PRATA;24;35;378;1000;255;-;-;-;34;1726
350050 AGUAS DE LINDOIA;11;533;1201;2786;955;-;-;-;99;5585
350055 AGUAS DE SANTA BARBARA;12;80;369;897;309;-;-;-;52;1719
350060 AGUAS DE SAO PEDRO;1;18;108;286;185;-;-;-;8;606
350070 AGUDOS;62;333;1724;6081;1911;-;-;-;1772;11883
350075 ALAMBARI;10;72;316;895;117;-;-;-;45;1455
350080 ALFREDO MARCONDES;4;23;153;563;186;-;-;-;21;950
350090 ALTAIR;13;47;261;588;145;-;-;-;13;1067
350100 ALTINOPOLIS;16;176;859;1894;627;-;-;-;1008;4580
350110 ALTO ALEGRE;3;63;247;516;104;-;-;-;25;958
350115 ALUMINIO;26;198;1230;3618;771;-;-;-;94;5937
350120 ALVARES FLORENCE;1;11;106;442;159;-;-;-;28;747
350130 ALVARES MACHADO;37;395;1483;4385;1529;-;-;-;218;8047
350140 ALVARO DE CARVALHO;19;77;277;658;75;-;-;-;11;1117
350150 ALVINLANDIA;1;33;239;587;141;-;-;-;2;1003
350160 AMERICANA;91;996;9556;33391;15682;-;-;-;218;59934
350170 AMERICO BRASILIENSE;82;412;2282;7686;842;-;-;-;133;11437
350180 AMERICO DE CAMPOS;4;35;241;722;278;-;-;-;19;1299
350190 AMPARO;65;538;3377;10997;3625;-;-;-;146;18748
350200 ANALANDIA;7;64;297;592;145;-;-;-;14;1119
350210 ANDRADINA;46;465;2535;9454;3325;-;-;-;117;15942
350220 ANGATUBA;47;465;2031;3972;952;-;-;-;161;7628
350230 ANHEMBI;4;68;445;1092;161;-;-;-;14;1784
350240 ANHUMAS;4;37;246;587;215;-;-;-;27;1116
350250 APARECIDA;28;275;1676;6242;1709;-;-;-;876;10806
350260 APARECIDA D'OESTE;12;44;230;573;231;-;-;-;9;1099
350270 APIAI;132;902;2027;4733;1164;-;-;-;296;9254
350275 ARACARIGUAMA;44;341;1643;3945;712;-;-;-;354;7039
350280 ARACATUBA;95;780;6711;31093;12435;-;-;-;595;51709
350290 ARACOIABA DA SERRA;47;377;1774;4938;1436;-;-;-;45;8617
350300 ARAMINA;5;37;278;677;257;-;-;-;117;1371
350310 ARANDU;16;152;594;989;183;-;-;-;25;1959
350315 ARAPEI;2;37;128;280;45;-;-;-;111;603
350320 ARARAQUARA;139;980;7755;36704;12729;-;-;-;589;58896
350330 ARARAS;104;1059;6077;19758;7467;-;-;-;245;34710
350335 ARCO-IRIS;2;14;120;294;59;-;-;-;9;498
350340 AREALVA;20;120;506;756;298;-;-;-;216;1916
350350 AREIAS;17;69;281;669;72;-;-;-;48;1156
350360 AREIOPOLIS;33;147;1217;1798;346;-;-;-;35;3576
350370 ARIRANHA;9;137;559;1310;304;-;-;-;21;2340
350380 ARTUR NOGUEIRA;74;512;3426;7682;1771;-;-;-;467;13932
350390 ARUJA;145;969;5148;17500;6223;-;-;-;350;30335
350395 ASPASIA;2;18;80;242;111;-;-;-;5;458
350400 ASSIS;62;466;4288;15448;7150;-;-;-;328;27742
350410 ATIBAIA;314;2215;9791;23576;8167;-;-;-;1022;45085
350420 AURIFLAMA;10;107;532;2210;722;-;-;-;221;3802
350430 AVAI;9;93;384;774;181;-;-;-;76;1517
350440 AVANHANDAVA;15;187;927;1759;327;-;-;-;56;3271
350450 AVARE;105;1404;6232;14817;5288;-;-;-;455;28301
350460 BADY BASSITT;7;92;748;2939;1144;-;-;-;38;4968
350470 BALBINOS;2;15;83;165;50;-;-;-;16;331
350480 BALSAMO;3;69;266;1126;377;-;-;-;124;1965
350490 BANANAL;28;208;734;1408;365;1;-;-;104;2848
350500 BARAO DE ANTONINA;1;32;196;577;116;-;-;-;49;971
350510 BARBOSA;17;136;610;1067;179;-;-;-;26;2035
350520 BARIRI;83;646;2211;4451;1380;-;-;-;342;9113
350530 BARRA BONITA;77;654;2313;3546;2015;-;-;-;90;8695
350535 BARRA DO CHAPEU;29;181;427;914;154;-;-;-;207;1912
350540 BARRA DO TURVO;74;252;864;1048;166;-;-;-;38;2442
350550 BARRETOS;75;592;4476;20946;7145;-;-;-;352;33586
350560 BARRINHA;107;874;2924;5655;1103;-;-;-;115;10778
350570 BARUERI;417;2771;17938;75534;23787;-;-;-;3483;123930
350580 BASTOS;28;232;1432;4379;806;-;-;-;55;6932
350590 BATATAIS;70;729;4006;8733;2834;-;-;-;135;16507
350600 BAURU;223;2654;18408;50825;28723;-;-;-;6011;106844
350610 BEBEDOURO;66;639;3433;11539;5177;-;-;-;591;21445
350620 BENTO DE ABREU;1;29;161;447;95;-;-;-;18;751
350630 BERNARDINO DE CAMPOS;28;212;711;1687;459;-;-;-;38;3135
350635 BERTIOGA;92;836;4912;12576;2152;-;-;-;284;20852
350640 BILAC;6;47;287;967;322;-;-;-;91;1720
350650 BIRIGUI;87;759;5230;19203;5485;-;-;-;557;31321
350660 BIRITIBA-MIRIM;95;687;2023;5529;696;-;-;-;95;9125
350670 BOA ESPERANCA DO SUL;38;326;1149;2400;576;-;-;-;62;4551
350680 BOCAINA;20;115;904;1638;512;-;-;-;57;3246
350690 BOFETE;32;137;829;1571;251;-;-;-;37;2857
350700 BOITUVA;101;583;3032;9747;3255;-;-;-;98;16816
350710 BOM JESUS DOS PERDOES;54;314;1535;3635;948;-;-;-;149;6635
350715 BOM SUCESSO DE ITARARE;22;226;361;811;129;-;-;-;33;1582
350720 BORA;1;6;38;144;34;-;-;-;2;225
350730 BORACEIA;14;117;315;691;174;-;-;-;66;1377
350740 BORBOREMA;20;205;918;2022;412;-;-;-;55;3632
350745 BOREBI;6;20;143;391;84;-;-;-;121;765
350750 BOTUCATU;129;964;7148;22620;8176;-;-;-;303;39340
350760 BRAGANCA PAULISTA;322;2766;9995;25839;9897;-;-;-;504;49323
350770 BRAUNA;2;72;328;829;203;-;-;-;21;1455
350775 BREJO ALEGRE;7;44;133;426;69;-;-;-;12;691
350780 BRODOWSKI;27;310;1894;3238;1031;-;-;-;58;6558
350790 BROTAS;48;303;1398;3921;1164;-;-;-;85;6919
350800 BURI;161;826;2279;3591;597;-;-;-;304;7758
350810 BURITAMA;23;214;864;2563;675;-;-;-;50;4389
350820 BURITIZAL;1;32;282;482;206;-;-;-;106;1109
350830 CABRALIA PAULISTA;12;84;382;757;119;-;-;-;33;1387
350840 CABREUVA;115;836;3465;9349;2093;-;-;-;625;16483
350850 CACAPAVA;176;983;4921;16788;5544;-;-;-;283;28695
350860 CACHOEIRA PAULISTA;48;379;1692;4712;2174;-;-;-;511;9516
350870 CACONDE;69;467;1478;2318;893;-;-;-;111;5336
350880 CAFELANDIA;83;265;1123;2832;668;-;-;-;312;5283
350890 CAIABU;6;28;202;640;167;-;-;-;18;1061
350900 CAIEIRAS;108;676;4557;18551;6422;-;-;-;559;30873
350910 CAIUA;3;24;200;657;175;-;-;-;24;1083
350920 CAJAMAR;111;1164;4949;15778;5089;-;-;-;316;27407
350925 CAJATI;145;746;3465;6327;1085;-;-;-;93;11861
350930 CAJOBI;15;132;504;1530;278;-;-;-;85;2544
350940 CAJURU;53;398;2052;4633;802;-;-;-;304;8242
350945 CAMPINA DO MONTE ALEGRE;21;119;475;976;205;-;-;-;34;1830
350950 CAMPINAS;964;7251;55302;187549;80759;-;-;-;2406;334231
350960 CAMPO LIMPO PAULISTA;101;853;4804;14977;4222;-;-;-;516;25473
350970 CAMPOS DO JORDAO;93;932;4479;10644;2157;-;-;-;229;18534
350980 CAMPOS NOVOS PAULISTA;16;96;345;771;163;-;-;-;7;1398
350990 CANANEIA;63;269;1272;2367;427;-;-;-;52;4450
350995 CANAS;5;79;352;886;160;-;-;-;140;1622
351000 CANDIDO MOTA;61;307;1910;4490;1363;-;-;-;171;8302
351010 CANDIDO RODRIGUES;3;54;111;295;77;-;-;-;34;574
351015 CANITAR;13;116;458;923;141;-;-;-;144;1795
351020 CAPAO BONITO;195;1307;3999;9302;1835;-;-;-;381;17019
351030 CAPELA DO ALTO;51;348;1644;3330;718;-;-;-;53;6144
351040 CAPIVARI;122;1069;3992;8334;2676;-;-;-;125;16318
351050 CARAGUATATUBA;153;1006;6297;22778;5958;-;-;-;200;36392
351060 CARAPICUIBA;495;4069;24093;92891;23010;-;-;-;8577;153135
351070 CARDOSO;13;134;700;1549;585;-;-;-;26;3007
351080 CASA BRANCA;49;596;1737;3534;1448;-;-;-;247;7611
351090 CASSIA DOS COQUEIROS;5;36;119;284;59;-;-;-;73;576
351100 CASTILHO;15;198;1079;3243;942;-;-;-;97;5574
351110 CATANDUVA;67;801;4683;18610;6613;-;-;-;271;31045
351120 CATIGUA;11;68;443;1248;192;-;-;-;19;1981
351130 CEDRAL;5;67;335;1268;423;-;-;-;18;2116
351140 CERQUEIRA CESAR;42;329;1552;2733;823;-;-;-;153;5632
351150 CERQUILHO;26;361;1995;6851;1892;-;-;-;76;11201
351160 CESARIO LANGE;50;288;1359;2644;673;-;-;-;107;5121
351170 CHARQUEADA;55;391;1168;2541;436;-;-;-;54;4645
351190 CLEMENTINA;18;103;524;1228;300;-;-;-;56;2229
351200 COLINA;64;263;836;3276;903;-;-;-;55;5397
351210 COLOMBIA;5;82;496;1293;268;-;-;-;40;2184
351220 CONCHAL;151;803;2644;4641;1030;-;-;-;245;9514
351230 CONCHAS;28;253;1387;2738;820;-;-;-;91;5317
351240 CORDEIROPOLIS;21;209;1226;3705;1151;-;-;-;151;6463
351250 COROADOS;7;39;285;815;168;-;-;-;22;1336
351260 CORONEL MACEDO;17;131;329;658;138;-;-;-;57;1330
351270 CORUMBATAI;11;44;225;646;160;-;-;-;10;1096
351280 COSMOPOLIS;79;775;4108;10344;2333;-;-;-;246;17885
351290 COSMORAMA;5;67;340;989;283;-;-;-;22;1706
351300 COTIA;288;1858;14421;48584;18919;-;-;-;1989;86059
351310 CRAVINHOS;87;523;2401;4721;1537;-;-;-;340;9609
351320 CRISTAIS PAULISTA;18;134;580;1313;362;-;-;-;33;2440
351330 CRUZALIA;1;12;84;306;140;-;-;-;5;548
351340 CRUZEIRO;62;546;3380;16084;3687;-;-;-;385;24144
351350 CUBATAO;168;1824;10443;25743;4569;-;-;-;315;43062
351360 CUNHA;60;670;1730;2839;777;-;-;-;282;6358
351370 DESCALVADO;27;228;1690;4801;1669;-;-;-;50;8465
351380 DIADEMA;604;4673;29578;85213;23649;-;-;-;2316;146033
351385 DIRCE REIS;1;10;66;208;98;-;-;-;10;393
351390 DIVINOLANDIA;17;191;798;1521;567;-;-;-;82;3176
351400 DOBRADA;26;175;580;1634;207;-;-;-;17;2639
351410 DOIS CORREGOS;109;1054;2360;3488;873;-;-;-;177;8061
351420 DOLCINOPOLIS;1;13;76;292;129;-;-;-;7;518
351430 DOURADO;10;93;562;1089;386;-;-;-;36;2176
351440 DRACENA;17;145;1355;6498;3047;-;-;-;223;11285
351450 DUARTINA;23;153;775;2006;437;-;-;-;65;3459
351460 DUMONT;12;115;539;1251;330;-;-;-;30;2277
351470 ECHAPORA;16;108;406;1088;299;-;-;-;22;1939
351480 ELDORADO;80;392;1491;2778;505;-;-;-;210;5456
351490 ELIAS FAUSTO;49;351;1339;2535;496;-;-;-;49;4819
351492 ELISIARIO;1;36;186;468;69;-;-;-;9;769
351495 EMBAUBA;3;23;108;358;80;-;-;-;6;578
351500 EMBU DAS ARTES;461;3436;20785;58292;14160;-;-;-;2453;99587
351510 EMBU-GUACU;133;911;4295;13100;3111;-;-;-;275;21825
351512 EMILIANOPOLIS;-;21;146;366;180;-;-;-;16;729
351515 ENGENHEIRO COELHO;51;266;1266;2821;901;-;-;-;104;5409
351518 ESPIRITO SANTO DO PINHAL;80;753;2724;5838;1822;-;-;-;115;11332
351519 ESPIRITO SANTO DO TURVO;9;77;341;811;116;-;-;-;140;1494
351520 ESTRELA D'OESTE;10;63;341;1219;537;-;-;-;22;2192
351530 ESTRELA DO NORTE;1;19;145;454;130;-;-;-;81;830
351535 EUCLIDES DA CUNHA PAULISTA;38;151;648;1687;420;-;-;-;22;2966
351540 FARTURA;23;239;1106;2533;727;-;-;-;37;4665
351550 FERNANDOPOLIS;34;294;2233;10082;4336;-;-;-;222;17201
351560 FERNANDO PRESTES;10;50;247;732;206;-;-;-;16;1261
351565 FERNAO;5;17;100;256;39;-;-;-;6;423
351570 FERRAZ DE VASCONCELOS;185;1570;13240;40920;7497;-;-;-;1925;65337
351580 FLORA RICA;2;12;83;226;109;-;-;-;1;433
351590 FLOREAL;5;16;81;298;145;-;-;-;10;555
