 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Estado civil mãe;;;;;;;
Período:2000-2022;;;;;;;
Município;Solteira;Casada;Viúva;Separada judicialmente;União consensual;Ignorado;Total
313260 ITAMARATI DE MINAS;350;437;4;17;156;5;969
313270 ITAMBACURI;4414;2321;32;56;2028;143;8994
313280 ITAMBE DO MATO DENTRO;183;291;2;8;24;13;521
313290 ITAMOGI;848;1291;7;47;551;45;2789
313300 ITAMONTE;1538;2279;12;106;157;17;4109
313310 ITANHANDU;1585;2202;12;82;341;18;4240
313320 ITANHOMI;1139;2000;16;52;623;38;3868
313330 ITAOBIM;3664;1982;23;39;926;216;6850
313340 ITAPAGIPE;1250;1155;4;55;312;26;2802
313350 ITAPECERICA;1714;2545;17;68;312;72;4728
313360 ITAPEVA;878;1057;11;29;426;93;2494
313370 ITATIAIUCU;1509;1344;10;67;121;16;3067
313375 ITAU DE MINAS;1193;2156;8;70;419;195;4041
313380 ITAUNA;10037;13042;123;715;706;93;24716
313390 ITAVERAVA;566;765;12;32;36;10;1421
313400 ITINGA;1841;1262;15;13;576;174;3881
313410 ITUETA;578;890;7;39;198;23;1735
313420 ITUIUTABA;11752;9591;39;301;5793;232;27708
313430 ITUMIRIM;655;935;10;17;127;6;1750
313440 ITURAMA;7024;3139;12;92;1206;133;11606
313450 ITUTINGA;459;462;2;19;84;7;1033
313460 JABOTICATUBAS;2233;1750;16;66;131;35;4231
313470 JACINTO;1582;846;6;19;654;132;3239
313480 JACUI;439;1215;8;37;339;37;2075
313490 JACUTINGA;2705;3516;25;143;484;108;6981
313500 JAGUARACU;287;387;3;9;49;18;753
313505 JAIBA;4966;4667;46;99;2489;717;12984
313507 JAMPRUCA;672;518;11;16;334;11;1562
313510 JANAUBA;11097;11465;83;173;2777;126;25721
313520 JANUARIA;14243;8329;74;203;1182;102;24133
313530 JAPARAIBA;274;742;3;12;100;16;1147
313535 JAPONVAR;732;1205;5;5;483;42;2472
313540 JECEABA;475;677;6;21;76;11;1266
313545 JENIPAPO DE MINAS;754;561;12;7;308;81;1723
313550 JEQUERI;783;2112;9;44;298;24;3270
313560 JEQUITAI;1318;494;9;16;225;21;2083
313570 JEQUITIBA;590;600;3;11;47;61;1312
313580 JEQUITINHONHA;3255;1596;18;39;1559;343;6810
313590 JESUANIA;376;728;2;22;86;6;1220
313600 JOAIMA;2959;1171;9;14;808;468;5429
313610 JOANESIA;346;699;8;21;35;12;1121
313620 JOAO MONLEVADE;9064;11591;113;465;435;553;22221
313630 JOAO PINHEIRO;6190;6606;62;146;3354;110;16468
313640 JOAQUIM FELICIO;592;352;7;12;133;28;1124
313650 JORDANIA;1321;733;2;11;509;138;2714
313652 JOSE GONCALVES DE MINAS;312;644;12;4;188;42;1202
313655 JOSE RAYDAN;351;692;4;21;177;9;1254
313657 JOSENOPOLIS;715;560;24;4;128;21;1452
313660 NOVA UNIAO;719;766;6;26;64;28;1609
313665 JUATUBA;3972;3476;31;142;378;66;8065
313670 JUIZ DE FORA;79529;60142;464;3237;4195;1288;148855
313680 JURAMENTO;465;508;3;12;83;15;1086
313690 JURUAIA;529;2014;7;43;337;34;2964
313695 JUVENILIA;526;766;1;7;276;57;1633
313700 LADAINHA;2944;1877;33;25;207;106;5192
313710 LAGAMAR;476;705;3;18;250;17;1469
313720 LAGOA DA PRATA;5461;6433;33;166;1785;171;14049
313730 LAGOA DOS PATOS;584;362;7;5;152;62;1172
313740 LAGOA DOURADA;1244;2262;21;41;102;50;3720
313750 LAGOA FORMOSA;1154;2341;14;60;759;68;4396
313753 LAGOA GRANDE;760;974;5;25;562;20;2346
313760 LAGOA SANTA;7062;7916;30;346;893;235;16482
313770 LAJINHA;1847;4059;31;100;597;425;7059
313780 LAMBARI;2042;3436;25;139;176;17;5835
313790 LAMIM;341;558;11;14;25;8;957
313800 LARANJAL;398;556;1;21;66;32;1074
313810 LASSANCE;1018;664;7;6;277;38;2010
313820 LAVRAS;12356;15593;101;590;1800;117;30557
313830 LEANDRO FERREIRA;345;348;3;14;54;14;778
313835 LEME DO PRADO;473;552;6;2;214;19;1266
313840 LEOPOLDINA;6946;6286;65;247;1426;56;15026
313850 LIBERDADE;521;511;10;25;57;13;1137
313860 LIMA DUARTE;2279;1456;25;89;246;124;4219
313862 LIMEIRA DO OESTE;954;525;1;9;331;27;1847
313865 LONTRA;765;1259;4;12;460;50;2550
313867 LUISBURGO;496;1714;10;42;70;20;2352
313868 LUISLANDIA;740;927;5;9;383;32;2096
313870 LUMINARIAS;623;563;6;22;118;6;1338
313880 LUZ;1645;2137;11;87;880;30;4790
313890 MACHACALIS;1339;754;3;13;231;8;2348
313900 MACHADO;3345;6901;38;185;1543;82;12094
313910 MADRE DE DEUS DE MINAS;568;493;2;16;163;27;1269
313920 MALACACHETA;4034;1984;39;25;709;65;6856
313925 MAMONAS;323;734;6;12;197;20;1292
313930 MANGA;3539;3527;16;35;1434;105;8656
313940 MANHUACU;12217;16838;92;535;1254;797;31733
313950 MANHUMIRIM;2941;3523;29;151;449;363;7456
313960 MANTENA;2904;4335;22;125;928;83;8397
313970 MARAVILHAS;882;898;6;29;119;40;1974
313980 MAR DE ESPANHA;1877;1220;16;76;122;27;3338
313990 MARIA DA FE;1711;2390;19;72;150;38;4380
314000 MARIANA;7915;9217;73;210;1756;574;19745
314010 MARILAC;545;490;4;12;278;29;1358
314015 MARIO CAMPOS;1970;2182;27;73;228;78;4558
314020 MARIPA DE MINAS;321;311;2;14;24;21;693
314030 MARLIERIA;402;584;4;16;81;18;1105
314040 MARMELOPOLIS;244;560;5;13;25;6;853
314050 MARTINHO CAMPOS;1466;1403;10;60;380;33;3352
314053 MARTINS SOARES;1022;1511;12;43;162;43;2793
314055 MATA VERDE;1215;629;-;8;611;37;2500
314060 MATERLANDIA;555;534;8;9;146;30;1282
314070 MATEUS LEME;4954;4053;46;196;374;71;9694
314080 MATIAS BARBOSA;2138;1204;17;82;112;23;3576
314085 MATIAS CARDOSO;1366;1175;6;15;512;104;3178
314090 MATIPO;2617;3815;44;87;355;187;7105
314100 MATO VERDE;1320;1692;7;25;589;42;3675
314110 MATOZINHOS;5270;5088;21;189;580;150;11298
314120 MATUTINA;197;521;3;12;152;13;898
314130 MEDEIROS;197;533;2;7;101;7;847
314140 MEDINA;3182;2186;36;30;1150;65;6649
314150 MENDES PIMENTEL;531;869;7;22;178;24;1631
314160 MERCES;1022;1229;12;37;205;22;2527
314170 MESQUITA;659;957;9;27;55;25;1732
314180 MINAS NOVAS;3596;3564;65;39;1471;107;8842
314190 MINDURI;519;446;4;14;72;8;1063
314200 MIRABELA;1698;1948;12;24;639;110;4431
314210 MIRADOURO;883;1489;7;41;54;28;2502
314220 MIRAI;1163;2038;22;56;481;33;3793
314225 MIRAVANIA;371;709;4;2;181;16;1283
314230 MOEDA;425;618;7;16;132;17;1215
314240 MOEMA;810;943;7;25;141;148;2074
314250 MONJOLOS;349;234;3;10;27;4;627
314260 MONSENHOR PAULO;572;1041;6;25;219;40;1903
314270 MONTALVANIA;1292;3036;11;28;753;162;5282
314280 MONTE ALEGRE DE MINAS;2576;1623;10;55;625;164;5053
314290 MONTE AZUL;1844;3814;25;61;691;103;6538
314300 MONTE BELO;1203;1875;13;70;199;57;3417
314310 MONTE CARMELO;7101;5752;36;266;851;667;14673
314315 MONTE FORMOSO;918;462;5;8;143;66;1602
314320 MONTE SANTO DE MINAS;1387;2815;12;103;1135;99;5551
314330 MONTES CLAROS;56278;68138;274;1180;9400;2113;137383
314340 MONTE SIAO;1541;2305;13;66;714;140;4779
314345 MONTEZUMA;657;1080;5;17;91;27;1877
314350 MORADA NOVA DE MINAS;944;752;6;35;306;50;2093
314360 MORRO DA GARCA;388;352;1;10;25;2;778
314370 MORRO DO PILAR;344;358;9;8;22;17;758
314380 MUNHOZ;510;520;3;23;187;34;1277
314390 MURIAE;12543;15684;130;730;593;725;30405
314400 MUTUM;2724;4899;41;173;560;323;8720
314410 MUZAMBINHO;1263;3623;14;111;778;185;5974
314420 NACIP RAYDAN;236;360;4;2;106;27;735
314430 NANUQUE;6838;4829;37;68;1712;176;13660
314435 NAQUE;1048;1088;20;35;82;21;2294
314437 NATALANDIA;418;305;7;24;165;7;926
314440 NATERCIA;274;607;2;12;50;16;961
314450 NAZARENO;1007;825;11;38;218;26;2125
314460 NEPOMUCENO;2970;3866;31;110;319;42;7338
314465 NINHEIRA;997;1342;11;13;148;13;2524
314467 NOVA BELEM;397;624;3;9;164;17;1214
314470 NOVA ERA;2508;2495;24;120;283;169;5599
314480 NOVA LIMA;12281;14466;50;447;480;102;27826
314490 NOVA MODICA;462;389;1;7;184;11;1054
314500 NOVA PONTE;1488;1531;7;33;592;296;3947
314505 NOVA PORTEIRINHA;1129;1036;4;14;301;13;2497
314510 NOVA RESENDE;557;3603;17;64;580;85;4906
314520 NOVA SERRANA;12909;13351;82;427;2804;171;29744
314530 NOVO CRUZEIRO;7111;3129;58;30;1275;240;11843
314535 NOVO ORIENTE DE MINAS;1937;865;9;18;201;35;3065
314537 NOVORIZONTE;539;812;9;14;94;10;1478
314540 OLARIA;217;190;6;7;24;6;450
314545 OLHOS-D'AGUA;908;618;10;20;231;44;1831
314550 OLIMPIO NORONHA;262;378;2;22;55;6;725
314560 OLIVEIRA;5157;4736;41;260;507;77;10778
314570 OLIVEIRA FORTES;159;210;4;8;13;6;400
314580 ONCA DE PITANGUI;279;321;3;9;58;4;674
314585 ORATORIOS;460;739;4;13;183;4;1403
314587 ORIZANIA;456;1759;6;18;302;111;2652
314590 OURO BRANCO;3680;6214;30;147;1177;117;11365
314600 OURO FINO;2383;3880;15;67;991;239;7575
314610 OURO PRETO;8078;8602;69;228;1851;1268;20096
314620 OURO VERDE DE MINAS;1431;864;12;13;68;23;2411
314625 PADRE CARVALHO;987;692;22;12;180;13;1906
314630 PADRE PARAISO;4382;2051;26;34;683;83;7259
314640 PAINEIRAS;292;476;1;16;96;25;906
314650 PAINS;721;965;10;22;293;24;2035
314655 PAI PEDRO;675;653;2;10;203;26;1569
314660 PAIVA;134;143;3;11;33;1;325
314670 PALMA;625;641;11;21;86;40;1424
314675 PALMOPOLIS;757;655;3;3;451;119;1988
314690 PAPAGAIOS;2303;1749;16;100;411;132;4711
314700 PARACATU;13843;10380;103;271;5864;365;30826
314710 PARA DE MINAS;11287;12289;92;599;2053;223;26543
314720 PARAGUACU;2008;2934;29;106;677;69;5823
314730 PARAISOPOLIS;2016;2739;19;129;414;71;5388
314740 PARAOPEBA;4206;2317;21;106;252;270;7172
314750 PASSABEM;120;239;2;11;11;5;388
314760 PASSA QUATRO;1328;2491;12;81;675;28;4615
314770 PASSA TEMPO;496;946;7;28;90;40;1607
314780 PASSA-VINTE;202;198;3;14;27;11;455
314790 PASSOS;10281;15854;87;509;4647;1859;33237
314795 PATIS;496;748;7;5;248;28;1532
314800 PATOS DE MINAS;11479;22189;113;672;6702;281;41436
314810 PATROCINIO;8193;12714;68;371;6638;279;28263
314820 PATROCINIO DO MURIAE;558;500;6;28;32;13;1137
314830 PAULA CANDIDO;888;1262;7;31;248;33;2469
314840 PAULISTAS;578;776;6;11;25;44;1440
314850 PAVAO;1510;670;9;10;276;51;2526
314860 PECANHA;2190;3257;29;60;375;111;6022
314870 PEDRA AZUL;4531;2030;13;48;1916;91;8629
314875 PEDRA BONITA;296;1980;6;15;189;81;2567
314880 PEDRA DO ANTA;293;478;5;15;82;8;881
314890 PEDRA DO INDAIA;214;545;4;13;45;9;830
314900 PEDRA DOURADA;146;409;-;6;91;57;709
314910 PEDRALVA;1124;1903;13;65;113;20;3238
314915 PEDRAS DE MARIA DA CRUZ;1695;1108;9;28;212;24;3076
314920 PEDRINOPOLIS;309;346;3;8;153;68;887
314930 PEDRO LEOPOLDO;7855;8523;50;355;1187;244;18214
314940 PEDRO TEIXEIRA;251;156;1;8;10;3;429
314950 PEQUERI;387;363;2;20;21;16;809
314960 PEQUI;579;404;5;16;93;11;1108
314970 PERDIGAO;1343;1311;7;55;113;35;2864
314980 PERDIZES;1326;1643;6;28;1330;35;4368
314990 PERDOES;1570;2620;14;84;380;21;4689
314995 PERIQUITO;936;1120;6;33;400;22;2517
315000 PESCADOR;625;399;1;6;202;21;1254
315010 PIAU;335;249;4;10;11;9;618
315015 PIEDADE DE CARATINGA;837;1566;11;48;406;39;2907
315020 PIEDADE DE PONTE NOVA;547;605;3;10;168;11;1344
315030 PIEDADE DO RIO GRANDE;505;452;4;8;146;15;1130
315040 PIEDADE DOS GERAIS;345;639;3;14;64;11;1076
315050 PIMENTA;868;707;7;51;181;7;1821
315053 PINGO-D'AGUA;653;650;6;30;50;16;1405
315057 PINTOPOLIS;883;809;10;16;436;25;2179
315060 PIRACEMA;388;873;5;15;129;25;1435
315070 PIRAJUBA;610;518;9;5;188;41;1371
315080 PIRANGA;1536;2833;31;47;141;47;4635
315090 PIRANGUCU;390;911;4;34;49;9;1397
315100 PIRANGUINHO;822;1515;8;59;119;20;2543
315110 PIRAPETINGA;1598;1553;14;57;273;23;3518
315120 PIRAPORA;11252;7149;27;122;1622;58;20230
315130 PIRAUBA;1241;1379;8;36;290;20;2974
315140 PITANGUI;3092;4120;24;145;814;140;8335
315150 PIUMHI;4467;4566;37;254;359;65;9748
315160 PLANURA;1501;940;6;31;346;43;2867
315170 POCO FUNDO;884;2715;17;69;350;19;4054
315180 POCOS DE CALDAS;11281;24153;77;592;8330;326;44759
315190 POCRANE;939;1085;7;27;50;124;2232
315200 POMPEU;4989;2810;34;180;1723;220;9956
315210 PONTE NOVA;6606;8051;47;260;2172;54;17190
315213 PONTO CHIQUE;748;409;2;11;95;8;1273
315217 PONTO DOS VOLANTES;2019;1082;15;21;431;129;3697
315220 PORTEIRINHA;3826;6607;35;91;1138;90;11787
315230 PORTO FIRME;715;1305;8;18;234;16;2296
315240 POTE;2905;1361;19;41;296;21;4643
315250 POUSO ALEGRE;15068;21063;65;760;3915;559;41430
315260 POUSO ALTO;505;865;7;22;177;8;1584
315270 PRADOS;896;1154;10;38;162;47;2307
315280 PRATA;3383;2395;20;83;1880;266;8027
315290 PRATAPOLIS;533;1021;5;33;299;78;1969
315300 PRATINHA;222;398;1;13;130;17;781
315310 PRESIDENTE BERNARDES;353;763;5;7;80;11;1219
315320 PRESIDENTE JUSCELINO;413;521;5;14;30;12;995
315330 PRESIDENTE KUBITSCHEK;403;491;4;8;177;12;1095
315340 PRESIDENTE OLEGARIO;1498;2396;20;61;850;35;4860
315350 ALTO JEQUITIBA;599;1630;8;46;175;153;2611
315360 PRUDENTE DE MORAIS;1780;1119;6;50;142;124;3221
315370 QUARTEL GERAL;293;276;3;12;198;9;791
315380 QUELUZITO;132;242;3;5;8;3;393
315390 RAPOSOS;2391;2093;18;61;79;16;4658
315400 RAUL SOARES;1910;3456;34;90;948;64;6502
315410 RECREIO;1033;854;8;31;400;21;2347
315415 REDUTO;1031;1229;13;62;113;19;2467
315420 RESENDE COSTA;1115;1743;13;52;109;64;3096
315430 RESPLENDOR;1876;2481;20;109;691;85;5262
315440 RESSAQUINHA;308;918;6;16;119;13;1380
315445 RIACHINHO;1083;468;9;17;400;23;2000
315450 RIACHO DOS MACHADOS;1209;1593;7;16;296;63;3184
315460 RIBEIRAO DAS NEVES;59467;42501;338;1671;1745;406;106128
315470 RIBEIRAO VERMELHO;428;425;5;19;47;4;928
315480 RIO ACIMA;1480;1207;8;58;48;12;2813
315490 RIO CASCA;1782;2176;13;42;449;57;4519
315500 RIO DOCE;157;300;1;9;68;4;539
315510 RIO DO PRADO;536;482;1;2;341;68;1430
315520 RIO ESPERA;361;806;10;14;29;13;1233
315530 RIO MANSO;358;605;6;22;17;9;1017
315540 RIO NOVO;1224;752;11;33;146;34;2200
315550 RIO PARANAIBA;682;1614;15;55;808;78;3252
315560 RIO PARDO DE MINAS;2903;6080;34;45;726;102;9890
315570 RIO PIRACICABA;1488;2117;15;59;56;88;3823
315580 RIO POMBA;1962;1889;13;84;504;25;4477
315590 RIO PRETO;587;428;9;30;82;29;1165
315600 RIO VERMELHO;1515;2327;17;35;359;72;4325
315610 RITAPOLIS;565;416;8;15;81;13;1098
315620 ROCHEDO DE MINAS;357;189;3;10;10;45;614
315630 RODEIRO;758;1159;7;42;280;18;2264
315640 ROMARIA;425;283;1;7;55;41;812
315645 ROSARIO DA LIMEIRA;427;684;5;24;24;20;1184
315650 RUBELITA;870;845;15;11;205;12;1958
315660 RUBIM;1746;591;5;16;398;81;2837
315670 SABARA;22590;16516;126;652;911;191;40986
315680 SABINOPOLIS;1837;2179;23;75;591;85;4790
315690 SACRAMENTO;2598;2734;18;66;1717;79;7212
315700 SALINAS;4927;6491;103;106;1176;79;12882
315710 SALTO DA DIVISA;1060;404;1;3;394;105;1967
315720 SANTA BARBARA;3574;4430;29;91;744;654;9522
315725 SANTA BARBARA DO LESTE;782;1465;12;34;370;28;2691
315727 SANTA BARBARA DO MONTE VERDE;424;222;-;21;30;6;703
315730 SANTA BARBARA DO TUGURIO;350;610;1;10;86;5;1062
315733 SANTA CRUZ DE MINAS;1136;871;6;47;173;33;2266
315737 SANTA CRUZ DE SALINAS;571;614;7;9;81;14;1296
315740 SANTA CRUZ DO ESCALVADO;421;618;4;9;139;2;1193
315750 SANTA EFIGENIA DE MINAS;408;750;5;19;232;69;1483
315760 SANTA FE DE MINAS;672;281;3;5;127;23;1111
315765 SANTA HELENA DE MINAS;1099;715;1;5;398;92;2310
315770 SANTA JULIANA;1137;1358;9;24;970;253;3751
315780 SANTA LUZIA;38608;30565;221;1255;1742;741;73132
315790 SANTA MARGARIDA;1325;3677;26;45;355;94;5522
315800 SANTA MARIA DE ITABIRA;1439;1599;18;41;160;88;3345
315810 SANTA MARIA DO SALTO;573;403;3;8;241;51;1279
315820 SANTA MARIA DO SUACUI;1740;2214;22;41;744;80;4841
315830 SANTANA DA VARGEM;749;1034;6;39;80;17;1925
315840 SANTANA DE CATAGUASES;236;406;-;10;74;9;735
315850 SANTANA DE PIRAPAMA;672;803;5;24;53;68;1625
315860 SANTANA DO DESERTO;523;291;4;18;8;4;848
315870 SANTANA DO GARAMBEU;248;271;2;11;69;4;605
315880 SANTANA DO JACARE;586;542;3;20;66;13;1230
315890 SANTANA DO MANHUACU;1174;1611;11;24;117;58;2995
315895 SANTANA DO PARAISO;3338;7013;34;245;328;91;11049
315900 SANTANA DO RIACHO;492;411;1;20;46;14;984
315910 SANTANA DOS MONTES;308;600;11;16;23;9;967
315920 SANTA RITA DE CALDAS;373;1043;10;17;435;28;1906
315930 SANTA RITA DE JACUTINGA;442;393;5;23;106;59;1028
315935 SANTA RITA DE MINAS;693;1178;7;31;322;22;2253
315940 SANTA RITA DE IBITIPOCA;456;349;-;11;112;6;934
315950 SANTA RITA DO ITUETO;561;1008;4;32;233;31;1869
315960 SANTA RITA DO SAPUCAI;3967;6106;29;218;1331;128;11779
315970 SANTA ROSA DA SERRA;209;377;1;12;212;31;842
315980 SANTA VITORIA;3030;1615;6;62;677;41;5431
315990 SANTO ANTONIO DO AMPARO;1839;2526;22;44;713;198;5342
316000 SANTO ANTONIO DO AVENTUREIRO;261;303;1;19;50;4;638
316010 SANTO ANTONIO DO GRAMA;390;638;3;17;169;11;1228
316020 SANTO ANTONIO DO ITAMBE;453;570;6;19;152;23;1223
316030 SANTO ANTONIO DO JACINTO;1435;949;7;16;637;86;3130
316040 SANTO ANTONIO DO MONTE;2180;4544;20;100;1194;47;8085
316045 SANTO ANTONIO DO RETIRO;682;1186;16;31;177;24;2116
316050 SANTO ANTONIO DO RIO ABAIXO;159;260;4;6;17;14;460
316060 SANTO HIPOLITO;525;248;3;8;39;2;825
316070 SANTOS DUMONT;5802;6204;66;294;507;212;13085
316080 SAO BENTO ABADE;850;587;2;23;243;14;1719
316090 SAO BRAS DO SUACUI;355;379;1;14;68;4;821
316095 SAO DOMINGOS DAS DORES;399;1381;4;33;130;31;1978
316100 SAO DOMINGOS DO PRATA;1701;2194;15;76;186;175;4347
316105 SAO FELIX DE MINAS;299;473;7;10;122;25;936
316110 SAO FRANCISCO;7923;8570;92;93;3714;196;20588
316120 SAO FRANCISCO DE PAULA;589;932;18;24;73;9;1645
316130 SAO FRANCISCO DE SALES;660;442;3;11;205;23;1344
316140 SAO FRANCISCO DO GLORIA;459;738;4;20;49;19;1289
316150 SAO GERALDO;883;926;5;36;274;30;2154
316160 SAO GERALDO DA PIEDADE;424;593;9;13;219;19;1277
316165 SAO GERALDO DO BAIXIO;301;388;1;12;193;6;901
316170 SAO GONCALO DO ABAETE;664;550;4;13;372;22;1625
316180 SAO GONCALO DO PARA;1395;1362;7;49;151;23;2987
316190 SAO GONCALO DO RIO ABAIXO;1419;1271;32;40;164;69;2995
316200 SAO GONCALO DO SAPUCAI;3787;3677;32;178;337;58;8069
316210 SAO GOTARDO;3281;5579;22;127;3995;187;13191
316220 SAO JOAO BATISTA DO GLORIA;485;958;4;30;304;106;1887
316225 SAO JOAO DA LAGOA;575;349;4;8;190;11;1137
316230 SAO JOAO DA MATA;121;475;2;10;45;8;661
316240 SAO JOAO DA PONTE;2486;3627;18;34;857;138;7160
316245 SAO JOAO DAS MISSOES;1577;2871;11;28;901;94;5482
316250 SAO JOAO DEL REI;10365;10268;80;459;1782;311;23265
316255 SAO JOAO DO MANHUACU;982;2599;10;58;196;103;3948
316257 SAO JOAO DO MANTENINHA;476;955;2;24;171;31;1659
316260 SAO JOAO DO ORIENTE;928;1262;10;71;112;27;2410
316265 SAO JOAO DO PACUI;496;336;5;3;171;25;1036
316270 SAO JOAO DO PARAISO;2567;3533;32;51;426;38;6647
316280 SAO JOAO EVANGELISTA;2242;2222;27;80;133;120;4824
316290 SAO JOAO NEPOMUCENO;3652;2475;15;124;109;593;6968
316292 SAO JOAQUIM DE BICAS;4276;3319;23;152;453;72;8295
316294 SAO JOSE DA BARRA;453;1086;7;26;241;84;1897
316295 SAO JOSE DA LAPA;2882;3309;14;115;479;67;6866
316300 SAO JOSE DA SAFIRA;588;585;9;15;286;11;1494
316310 SAO JOSE DA VARGINHA;476;445;4;15;83;12;1035
316320 SAO JOSE DO ALEGRE;404;667;5;22;52;6;1156
316330 SAO JOSE DO DIVINO;471;411;1;9;158;17;1067
316340 SAO JOSE DO GOIABAL;569;720;4;10;169;28;1500
316350 SAO JOSE DO JACURI;825;813;7;13;88;37;1783
316360 SAO JOSE DO MANTIMENTO;317;533;5;21;31;14;921
316370 SAO LOURENCO;5020;5980;26;244;1228;109;12607
316380 SAO MIGUEL DO ANTA;412;1076;5;16;142;11;1662
316390 SAO PEDRO DA UNIAO;258;576;3;16;160;20;1033
316400 SAO PEDRO DOS FERROS;876;1012;14;34;203;29;2168
316410 SAO PEDRO DO SUACUI;552;764;10;17;131;15;1489
316420 SAO ROMAO;1442;704;11;13;710;77;2957
316430 SAO ROQUE DE MINAS;688;744;4;39;61;14;1550
