 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Duração gestação;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 22 semanas;De 22 a 27 semanas;De 28 a 31 semanas;De 32 a 36 semanas;De 28 a 36 semanas, não especificado;De 37 a 41 semanas;42 semanas ou mais;Ignorado;Total
410975 IBEMA;1;10;23;156;-;2076;61;3;2330
410980 IBIPORA;10;65;139;1070;-;14193;106;88;15671
410990 ICARAIMA;-;5;28;165;-;2518;22;1;2739
411000 IGUARACU;-;7;11;105;-;1104;7;4;1238
411005 IGUATU;1;1;2;45;-;538;11;4;602
411007 IMBAU;3;17;22;292;-;3965;29;24;4352
411010 IMBITUVA;2;68;93;704;-;10051;299;37;11254
411020 INACIO MARTINS;2;20;36;308;-;3879;160;29;4434
411030 INAJA;-;4;6;54;-;653;7;-;724
411040 INDIANOPOLIS;-;7;11;111;-;1086;23;3;1241
411050 IPIRANGA;5;16;48;352;-;4394;81;22;4918
411060 IPORA;-;15;32;338;-;4175;47;20;4627
411065 IRACEMA DO OESTE;1;6;7;39;-;602;6;2;663
411070 IRATI;7;73;158;1403;-;16921;405;32;18999
411080 IRETAMA;-;12;17;191;-;3309;45;31;3605
411090 ITAGUAJE;1;7;6;103;-;1249;23;5;1394
411095 ITAIPULANDIA;1;11;25;255;-;2882;52;10;3236
411100 ITAMBARACA;1;6;23;147;-;1668;41;5;1891
411110 ITAMBE;2;9;15;109;-;1494;18;4;1651
411120 ITAPEJARA D'OESTE;-;13;21;225;-;2849;47;11;3166
411125 ITAPERUCU;3;57;81;776;-;9974;165;90;11146
411130 ITAUNA DO SUL;2;14;14;105;-;1147;12;11;1305
411140 IVAI;2;6;34;349;-;4262;103;113;4869
411150 IVAIPORA;4;43;66;1382;-;8119;28;17;9659
411155 IVATE;2;4;12;142;-;2128;22;1;2311
411160 IVATUBA;-;-;7;49;-;607;6;1;670
411170 JABOTI;-;5;7;67;-;1278;19;264;1640
411180 JACAREZINHO;11;42;83;593;1;12850;67;78;13725
411190 JAGUAPITA;4;16;29;272;-;3510;59;16;3906
411200 JAGUARIAIVA;2;62;93;943;-;11748;105;103;13056
411210 JANDAIA DO SUL;2;23;53;586;-;5342;51;6;6063
411220 JANIOPOLIS;1;3;15;106;-;1687;48;10;1870
411230 JAPIRA;4;5;14;122;-;1136;169;20;1470
411240 JAPURA;-;7;10;149;-;1963;19;15;2163
411250 JARDIM ALEGRE;1;13;26;211;-;3271;42;37;3601
411260 JARDIM OLINDA;-;1;-;43;-;426;6;1;477
411270 JATAIZINHO;4;21;34;319;-;3582;44;44;4048
411275 JESUITAS;-;5;23;173;-;2142;16;5;2364
411280 JOAQUIM TAVORA;1;25;32;315;-;2781;202;71;3427
411290 JUNDIAI DO SUL;1;4;10;51;-;837;26;18;947
411295 JURANDA;1;15;20;163;-;2169;43;4;2415
411300 JUSSARA;-;8;16;136;-;1798;37;10;2005
411310 KALORE;1;5;4;94;-;1072;13;-;1189
411320 LAPA;4;59;109;1136;-;12794;275;595;14972
411325 LARANJAL;1;6;13;121;-;2221;40;7;2409
411330 LARANJEIRAS DO SUL;2;43;64;540;-;11310;50;9;12018
411340 LEOPOLIS;4;5;7;88;-;957;15;9;1085
411342 LIDIANOPOLIS;-;3;8;88;-;971;1;2;1073
411345 LINDOESTE;1;9;9;117;-;1514;99;1;1750
411350 LOANDA;2;35;52;415;-;6422;41;91;7058
411360 LOBATO;-;2;17;90;-;1060;11;8;1188
411370 LONDRINA;70;826;1551;13848;3;141280;1952;484;160014
411373 LUIZIANA;3;4;15;121;-;2264;42;6;2455
411375 LUNARDELLI;-;6;10;90;-;1407;17;11;1541
411380 LUPIONOPOLIS;-;9;7;97;-;1116;10;7;1246
411390 MALLET;1;16;30;234;-;3572;76;23;3952
411400 MAMBORE;1;11;30;303;-;3966;43;6;4360
411410 MANDAGUACU;9;36;68;513;-;6386;28;10;7050
411420 MANDAGUARI;2;55;86;820;-;9124;61;63;10211
411430 MANDIRITUBA;1;42;70;561;-;7560;69;127;8430
411435 MANFRINOPOLIS;-;3;5;55;-;790;11;1;865
411440 MANGUEIRINHA;2;35;47;430;-;6228;138;33;6913
411450 MANOEL RIBAS;-;13;24;259;-;4501;50;74;4921
411460 MARECHAL CANDIDO RONDON;-;64;118;1137;-;13309;324;19;14971
411470 MARIA HELENA;-;6;12;82;1;1419;65;1;1586
411480 MARIALVA;10;43;87;889;-;9271;56;14;10370
411490 MARILANDIA DO SUL;1;7;33;267;-;2584;12;1;2905
411500 MARILENA;-;9;16;164;-;2011;23;6;2229
411510 MARILUZ;2;11;30;264;-;3249;43;3;3602
411520 MARINGA;44;477;1050;9240;-;94216;470;171;105668
411530 MARIOPOLIS;-;8;12;161;-;1750;22;8;1961
411535 MARIPA;-;3;13;122;-;1320;99;14;1571
411540 MARMELEIRO;-;19;45;340;-;3839;48;33;4324
411545 MARQUINHO;-;5;6;79;-;1816;8;2;1916
411550 MARUMBI;1;5;8;92;-;1180;8;1;1295
411560 MATELANDIA;4;17;50;429;-;5143;114;7;5764
411570 MATINHOS;9;44;93;681;-;9561;152;343;10883
411573 MATO RICO;-;7;3;76;-;1062;17;15;1180
411575 MAUA DA SERRA;2;13;32;237;-;3164;36;3;3487
411580 MEDIANEIRA;5;56;112;726;-;14011;82;31;15023
411585 MERCEDES;1;3;12;79;-;1313;26;5;1439
411590 MIRADOR;-;3;4;43;-;568;8;7;633
411600 MIRASELVA;-;1;6;28;-;450;11;3;499
411605 MISSAL;2;14;34;267;-;2630;68;86;3101
411610 MOREIRA SALES;1;16;25;275;-;3361;42;4;3724
411620 MORRETES;2;21;40;351;1;5101;154;55;5725
411630 MUNHOZ DE MELO;3;2;11;59;-;946;10;3;1034
411640 NOSSA SENHORA DAS GRACAS;-;2;10;78;-;1039;4;4;1137
411650 NOVA ALIANCA DO IVAI;-;-;2;27;-;409;-;2;440
411660 NOVA AMERICA DA COLINA;-;5;5;82;-;938;19;12;1061
411670 NOVA AURORA;1;12;15;263;-;3201;37;13;3542
411680 NOVA CANTU;2;11;19;136;-;2160;46;24;2398
411690 NOVA ESPERANCA;2;30;68;627;1;6961;333;16;8038
411695 NOVA ESPERANCA DO SUDOESTE;1;4;17;163;-;1484;29;20;1718
411700 NOVA FATIMA;-;9;28;185;-;1997;40;22;2281
411705 NOVA LARANJEIRAS;4;13;32;220;-;4358;35;9;4671
411710 NOVA LONDRINA;1;28;48;288;-;3444;56;51;3916
411720 NOVA OLIMPIA;2;8;18;120;-;1442;20;-;1610
411721 NOVA SANTA BARBARA;-;9;19;110;-;1115;26;15;1294
411722 NOVA SANTA ROSA;1;8;20;173;-;2000;120;17;2339
411725 NOVA PRATA DO IGUACU;2;6;22;189;-;2766;39;14;3038
411727 NOVA TEBAS;1;11;28;143;-;2152;43;32;2410
411729 NOVO ITACOLOMI;-;2;7;62;-;683;3;-;757
411730 ORTIGUEIRA;2;35;64;481;-;7297;112;90;8081
411740 OURIZONA;-;-;6;77;-;802;5;5;895
411745 OURO VERDE DO OESTE;2;8;16;165;-;1575;32;6;1804
411750 PAICANDU;8;64;112;1062;-;10928;101;20;12295
411760 PALMAS;5;86;185;3016;-;17285;219;34;20830
411770 PALMEIRA;-;41;87;704;-;10247;142;30;11251
411780 PALMITAL;1;16;39;322;-;5613;49;6;6046
411790 PALOTINA;4;37;88;793;1;9092;123;54;10192
411800 PARAISO DO NORTE;1;14;25;209;-;3545;24;67;3885
411810 PARANACITY;3;9;35;258;-;2945;52;7;3309
411820 PARANAGUA;21;265;463;3836;2;51153;498;94;56332
411830 PARANAPOEMA;-;5;4;64;-;818;10;5;906
411840 PARANAVAI;14;95;222;2084;-;24814;116;16;27361
411845 PATO BRAGADO;3;6;12;95;-;1336;32;9;1493
411850 PATO BRANCO;9;124;229;2085;-;24129;236;253;27065
411860 PAULA FREITAS;1;3;19;148;-;1421;46;4;1642
411870 PAULO FRONTIN;-;6;13;136;-;1712;62;1;1930
411880 PEABIRU;2;13;34;334;-;3547;68;5;4003
411885 PEROBAL;-;6;2;124;-;1684;18;1;1835
411890 PEROLA;-;14;16;233;-;2759;17;1;3040
411900 PEROLA D'OESTE;-;13;9;115;-;1628;30;7;1802
411910 PIEN;1;8;29;291;-;3346;40;17;3732
411915 PINHAIS;14;207;399;3321;1;39358;585;478;44363
411920 PINHALAO;1;2;15;121;-;1978;46;5;2168
411925 PINHAL DE SAO BENTO;-;2;2;59;-;768;22;-;853
411930 PINHAO;1;48;103;780;-;12134;213;9;13288
411940 PIRAI DO SUL;4;43;51;606;-;7949;178;63;8894
411950 PIRAQUARA;12;175;289;2639;1;30788;445;363;34712
411960 PITANGA;2;25;55;685;-;11341;49;5;12162
411965 PITANGUEIRAS;-;4;7;69;-;685;10;-;775
411970 PLANALTINA DO PARANA;-;7;11;126;-;1309;30;3;1486
411980 PLANALTO;-;13;31;190;-;3089;78;11;3412
411990 PONTA GROSSA;43;502;940;7854;1;109093;1227;321;119981
411995 PONTAL DO PARANA;3;44;45;441;-;6176;73;34;6816
412000 PORECATU;4;17;38;267;-;3417;25;19;3787
412010 PORTO AMAZONAS;-;3;12;109;-;1237;22;10;1393
412015 PORTO BARREIRO;1;3;6;55;-;1095;2;-;1162
412020 PORTO RICO;2;3;9;43;-;705;4;9;775
412030 PORTO VITORIA;-;3;15;93;-;1160;23;-;1294
412033 PRADO FERREIRA;-;6;16;94;-;988;16;5;1125
412035 PRANCHITA;3;7;21;128;-;1617;51;8;1835
412040 PRESIDENTE CASTELO BRANCO;1;8;11;100;-;1370;9;7;1506
412050 PRIMEIRO DE MAIO;-;10;22;195;-;2362;25;33;2647
412060 PRUDENTOPOLIS;12;52;121;1146;-;14825;494;42;16692
412065 QUARTO CENTENARIO;-;5;11;108;-;1251;25;3;1403
412070 QUATIGUA;-;8;19;162;-;1890;46;48;2173
412080 QUATRO BARRAS;2;29;62;480;1;6560;24;36;7194
412085 QUATRO PONTES;-;7;14;59;-;873;10;1;964
412090 QUEDAS DO IGUACU;2;54;98;724;-;10235;224;9;11346
412100 QUERENCIA DO NORTE;4;14;32;260;1;3608;100;11;4030
412110 QUINTA DO SOL;-;5;12;128;-;1402;26;2;1575
412120 QUITANDINHA;1;15;48;333;-;4427;42;48;4914
412125 RAMILANDIA;-;9;11;123;-;1165;44;4;1356
412130 RANCHO ALEGRE;-;3;10;83;-;888;14;13;1011
412135 RANCHO ALEGRE D'OESTE;1;2;10;42;-;731;14;2;802
412140 REALEZA;3;12;36;324;-;4719;61;51;5206
412150 REBOUCAS;3;15;36;379;-;4249;183;17;4882
412160 RENASCENCA;2;12;21;151;-;1919;25;4;2134
412170 RESERVA;3;47;80;604;-;9002;99;43;9878
412175 RESERVA DO IGUACU;-;7;20;191;-;2598;50;13;2879
412180 RIBEIRAO CLARO;2;15;28;218;-;2866;58;43;3230
412190 RIBEIRAO DO PINHAL;2;20;48;258;-;3824;201;25;4378
412200 RIO AZUL;-;16;51;284;-;4273;86;3;4713
412210 RIO BOM;-;3;14;63;-;777;3;-;860
412215 RIO BONITO DO IGUACU;1;23;31;247;-;5500;26;1;5829
412217 RIO BRANCO DO IVAI;-;2;9;98;-;1248;7;16;1380
412220 RIO BRANCO DO SUL;6;48;96;922;-;12599;233;195;14099
412230 RIO NEGRO;7;56;93;697;-;8441;234;31;9559
412240 ROLANDIA;12;115;173;1691;-;17143;271;74;19479
412250 RONCADOR;2;26;26;240;-;3497;53;74;3918
412260 RONDON;-;12;30;197;-;2641;35;19;2934
412265 ROSARIO DO IVAI;-;5;8;83;-;1701;10;6;1813
412270 SABAUDIA;-;9;12;167;-;1670;46;-;1904
412280 SALGADO FILHO;-;3;11;121;-;1284;39;-;1458
412290 SALTO DO ITARARE;-;5;8;96;-;1240;32;16;1397
412300 SALTO DO LONTRA;-;13;35;290;-;3738;68;84;4228
412310 SANTA AMELIA;3;4;16;70;-;1156;30;8;1287
412320 SANTA CECILIA DO PAVAO;-;4;17;89;-;957;26;18;1111
412330 SANTA CRUZ DE MONTE CASTELO;-;9;10;125;-;2282;18;19;2463
412340 SANTA FE;1;9;34;218;-;2553;16;17;2848
412350 SANTA HELENA;2;23;62;559;-;6896;113;46;7701
412360 SANTA INES;-;3;5;35;-;455;5;1;504
412370 SANTA ISABEL DO IVAI;3;14;14;190;-;2132;57;18;2428
412380 SANTA IZABEL DO OESTE;2;14;29;239;-;3308;44;13;3649
412382 SANTA LUCIA;-;2;9;80;-;1082;11;1;1185
412385 SANTA MARIA DO OESTE;2;16;30;210;-;3516;56;7;3837
412390 SANTA MARIANA;7;10;33;310;-;2998;60;16;3434
412395 SANTA MONICA;1;8;7;70;-;994;39;6;1125
412400 SANTANA DO ITARARE;-;2;12;86;-;1268;52;18;1438
412402 SANTA TEREZA DO OESTE;-;24;29;288;-;3378;26;1;3746
412405 SANTA TEREZINHA DE ITAIPU;4;30;37;498;-;6360;88;55;7072
412410 SANTO ANTONIO DA PLATINA;11;58;137;1214;-;12550;280;372;14622
412420 SANTO ANTONIO DO CAIUA;-;4;7;46;-;663;7;2;729
412430 SANTO ANTONIO DO PARAISO;-;2;8;53;-;574;13;4;654
412440 SANTO ANTONIO DO SUDOESTE;1;21;45;402;-;5824;201;111;6605
412450 SANTO INACIO;-;3;19;125;-;1598;16;2;1763
412460 SAO CARLOS DO IVAI;1;5;19;139;-;1743;13;10;1930
412470 SAO JERONIMO DA SERRA;1;12;29;241;-;3422;75;57;3837
412480 SAO JOAO;2;11;17;272;-;2642;123;13;3080
412490 SAO JOAO DO CAIUA;2;5;13;123;-;1732;20;26;1921
412500 SAO JOAO DO IVAI;1;18;15;292;-;2987;25;9;3347
412510 SAO JOAO DO TRIUNFO;-;21;38;330;-;3851;81;55;4376
412520 SAO JORGE D'OESTE;-;7;26;203;-;2367;57;5;2665
412530 SAO JORGE DO IVAI;2;1;20;124;-;1146;14;3;1310
412535 SAO JORGE DO PATROCINIO;-;3;10;169;-;1605;36;2;1825
412540 SAO JOSE DA BOA VISTA;-;2;9;119;-;1454;40;23;1647
412545 SAO JOSE DAS PALMEIRAS;-;2;14;109;-;1050;19;5;1199
412550 SAO JOSE DOS PINHAIS;28;492;963;8119;-;91354;1262;662;102880
412555 SAO MANOEL DO PARANA;-;3;5;34;-;497;10;1;550
412560 SAO MATEUS DO SUL;2;58;104;857;-;12861;225;275;14382
412570 SAO MIGUEL DO IGUACU;8;48;87;638;-;8433;157;77;9448
412575 SAO PEDRO DO IGUACU;-;12;25;128;-;1688;20;18;1891
412580 SAO PEDRO DO IVAI;2;11;26;197;-;2521;19;4;2780
412590 SAO PEDRO DO PARANA;-;3;2;38;-;729;3;15;790
412600 SAO SEBASTIAO DA AMOREIRA;-;12;26;237;-;2279;78;48;2680
412610 SAO TOME;-;7;12;105;-;1454;17;4;1599
412620 SAPOPEMA;2;5;16;152;-;1917;33;23;2148
412625 SARANDI;11;151;272;2384;1;27882;113;46;30860
412627 SAUDADE DO IGUACU;1;4;12;153;-;1708;45;3;1926
412630 SENGES;1;25;53;423;1;6031;66;53;6653
412635 SERRANOPOLIS DO IGUACU;-;3;5;66;-;1116;8;2;1200
412640 SERTANEJA;-;5;11;116;-;1369;33;8;1542
412650 SERTANOPOLIS;4;16;51;330;-;3972;38;50;4461
412660 SIQUEIRA CAMPOS;3;16;63;391;-;5275;144;101;5993
412665 SULINA;-;2;4;70;-;873;25;5;979
412667 TAMARANA;6;23;39;319;-;3692;78;54;4211
412670 TAMBOARA;-;5;15;96;-;1167;9;1;1293
412680 TAPEJARA;2;18;33;256;-;4395;29;10;4743
412690 TAPIRA;-;11;17;112;-;1478;10;4;1632
412700 TEIXEIRA SOARES;-;8;28;243;-;2913;75;10;3277
412710 TELEMACO BORBA;7;109;219;1775;-;24312;129;53;26604
412720 TERRA BOA;5;27;36;294;-;4484;63;4;4913
412730 TERRA RICA;1;18;35;364;-;4536;64;5;5023
412740 TERRA ROXA;4;18;38;356;-;4604;78;86;5184
412750 TIBAGI;-;34;54;480;-;6597;71;37;7273
412760 TIJUCAS DO SUL;2;23;42;361;-;4543;69;24;5064
412770 TOLEDO;13;161;446;3853;-;35863;579;43;40958
412780 TOMAZINA;-;7;13;140;-;1925;52;25;2162
412785 TRES BARRAS DO PARANA;2;23;25;248;-;3732;89;5;4124
412788 TUNAS DO PARANA;-;15;28;200;-;2684;18;39;2984
412790 TUNEIRAS DO OESTE;1;5;14;138;-;2392;43;6;2599
412795 TUPASSI;-;4;14;151;-;1688;267;27;2151
412796 TURVO;3;20;44;361;-;5028;90;7;5553
412800 UBIRATA;4;35;56;888;-;5782;65;13;6843
412810 UMUARAMA;6;117;258;2516;-;29488;251;9;32645
412820 UNIAO DA VITORIA;7;77;198;1530;-;17444;428;48;19732
412830 UNIFLOR;-;4;4;34;-;553;4;-;599
412840 URAI;3;17;24;220;-;2695;78;16;3053
412850 WENCESLAU BRAZ;3;16;58;404;-;5739;96;151;6467
412853 VENTANIA;2;11;17;208;-;3172;38;14;3462
412855 VERA CRUZ DO OESTE;2;8;21;168;-;2267;18;-;2484
412860 VERE;2;9;14;142;-;2006;36;3;2212
412862 ALTO PARAISO;-;5;4;65;-;1000;12;-;1086
412863 DOUTOR ULYSSES;-;7;16;117;-;1613;17;30;1800
412865 VIRMOND;-;5;13;61;-;1286;3;3;1371
412870 VITORINO;-;4;15;149;-;1970;27;3;2168
412880 XAMBRE;1;8;11;92;-;1557;22;2;1693
 MUNICIPIO IGNORADO - SC;-;-;1;3;-;18;1;1;24
420005 ABDON BATISTA;-;-;9;44;-;705;9;10;777
420010 ABELARDO LUZ;1;28;53;337;-;6198;99;26;6742
420020 AGROLANDIA;-;8;22;166;-;2740;26;27;2989
420030 AGRONOMICA;-;1;6;103;-;1232;12;1;1355
420040 AGUA DOCE;-;9;15;143;-;1964;30;113;2274
420050 AGUAS DE CHAPECO;-;5;7;152;-;1551;24;4;1743
420055 AGUAS FRIAS;-;-;6;44;-;652;5;14;721
420060 AGUAS MORNAS;1;6;10;89;-;1381;33;9;1529
420070 ALFREDO WAGNER;1;12;17;185;-;2555;90;21;2881
420075 ALTO BELA VISTA;-;3;1;28;-;348;6;1;387
420080 ANCHIETA;-;6;8;105;-;1754;73;6;1952
420090 ANGELINA;-;5;17;107;-;1236;38;6;1409
420100 ANITA GARIBALDI;-;6;19;173;-;2394;52;23;2667
420110 ANITAPOLIS;1;-;1;46;-;778;11;4;841
420120 ANTONIO CARLOS;-;6;19;156;-;2258;32;8;2479
420125 APIUNA;-;12;13;201;-;2574;33;2;2835
420127 ARABUTA;1;3;6;86;-;788;18;1;903
420130 ARAQUARI;3;43;100;940;-;9231;291;7;10615
420140 ARARANGUA;9;91;214;1657;-;18317;532;33;20853
420150 ARMAZEM;1;13;24;251;-;1997;87;30;2403
420160 ARROIO TRINTA;-;3;3;60;-;682;18;7;773
420165 ARVOREDO;-;5;4;36;-;536;20;4;605
420170 ASCURRA;1;11;10;167;-;1853;61;1;2104
420180 ATALANTA;-;3;2;68;-;823;26;3;925
420190 AURORA;-;4;9;104;-;1558;28;7;1710
420195 BALNEARIO ARROIO DO SILVA;4;11;16;260;-;2705;101;6;3103
420200 BALNEARIO CAMBORIU;9;143;214;2616;-;29754;272;42;33050
420205 BALNEARIO BARRA DO SUL;-;23;25;240;-;2230;91;2;2611
420207 BALNEARIO GAIVOTA;-;9;30;213;-;2383;94;10;2739
420208 BANDEIRANTE;-;3;2;64;-;748;14;1;832
420209 BARRA BONITA;-;1;5;40;-;459;12;4;521
420210 BARRA VELHA;2;40;69;785;-;7775;215;6;8892
420213 BELA VISTA DO TOLDO;3;15;11;125;-;1504;47;15;1720
420215 BELMONTE;-;1;10;59;-;697;15;1;783
420220 BENEDITO NOVO;-;12;19;169;-;2324;53;28;2605
420230 BIGUACU;8;85;146;1403;14;17580;320;198;19754
420240 BLUMENAU;24;429;909;8034;-;86049;1196;78;96719
420243 BOCAINA DO SUL;-;6;5;86;-;900;31;4;1032
420245 BOMBINHAS;4;18;35;367;-;4852;48;12;5336
420250 BOM JARDIM DA SERRA;-;3;8;90;-;958;18;7;1084
420253 BOM JESUS;1;2;11;77;-;725;11;4;831
420257 BOM JESUS DO OESTE;-;-;5;28;-;523;5;1;562
420260 BOM RETIRO;-;18;31;203;-;2894;56;21;3223
420270 BOTUVERA;-;3;6;87;-;1021;9;5;1131
420280 BRACO DO NORTE;5;34;86;854;-;9249;256;86;10570
420285 BRACO DO TROMBUDO;-;3;4;78;-;949;10;7;1051
420287 BRUNOPOLIS;-;2;8;64;-;776;10;3;863
420290 BRUSQUE;12;129;254;2470;-;31890;428;37;35220
420300 CACADOR;15;108;219;2006;-;25522;262;114;28246
420310 CAIBI;-;5;14;111;-;1414;74;15;1633
420315 CALMON;-;3;9;115;-;1322;21;7;1477
420320 CAMBORIU;12;110;186;1923;-;24059;287;44;26621
420325 CAPAO ALTO;1;6;8;54;-;616;11;4;700
420330 CAMPO ALEGRE;3;7;17;252;-;3216;72;12;3579
420340 CAMPO BELO DO SUL;-;15;13;171;-;2035;43;14;2291
420350 CAMPO ERE;-;12;21;273;-;3389;76;7;3778
420360 CAMPOS NOVOS;2;35;114;734;-;10763;245;116;12009
420370 CANELINHA;2;16;22;211;-;2923;69;27;3270
420380 CANOINHAS;12;76;170;1439;-;17385;466;193;19741
420390 CAPINZAL;3;21;61;503;-;6923;65;20;7596
420395 CAPIVARI DE BAIXO;4;28;74;719;-;5957;200;12;6994
420400 CATANDUVAS;2;7;23;246;-;3181;27;28;3514
420410 CAXAMBU DO SUL;-;6;9;69;-;1206;16;2;1308
420415 CELSO RAMOS;1;1;2;45;-;662;10;5;726
420417 CERRO NEGRO;-;4;7;65;-;896;15;15;1002
420419 CHAPADAO DO LAGEADO;-;1;1;53;-;839;12;5;911
420420 CHAPECO;21;290;661;5141;-;63678;646;45;70482
420425 COCAL DO SUL;3;15;22;329;-;3891;42;13;4315
420430 CONCORDIA;4;111;221;2308;-;19904;345;18;22911
420435 CORDILHEIRA ALTA;-;6;9;80;-;880;5;1;981
420440 CORONEL FREITAS;-;11;16;207;-;2360;38;11;2643
420445 CORONEL MARTINS;-;3;2;46;-;564;5;1;621
420450 CORUPA;1;14;50;323;-;3713;39;6;4146
420455 CORREIA PINTO;1;26;58;419;-;4454;88;61;5107
420460 CRICIUMA;23;235;508;4529;-;56125;686;304;62410
420470 CUNHA PORA;-;8;23;246;-;2518;42;13;2850
420475 CUNHATAI;-;-;3;30;-;389;8;1;431
420480 CURITIBANOS;5;94;145;985;1;14025;237;73;15565
420490 DESCANSO;-;9;17;151;-;1979;27;3;2186
420500 DIONISIO CERQUEIRA;2;20;24;349;-;4910;75;38;5418
420510 DONA EMMA;-;5;9;70;-;1081;18;-;1183
420515 DOUTOR PEDRINHO;-;5;7;52;-;751;20;10;845
420517 ENTRE RIOS;-;8;8;78;-;1173;19;2;1288
420519 ERMO;-;1;4;39;-;703;26;6;779
420520 ERVAL VELHO;-;5;6;96;-;1053;8;15;1183
420530 FAXINAL DOS GUEDES;1;7;38;361;2;3265;60;9;3743
420535 FLOR DO SERTAO;-;2;2;30;-;396;4;-;434
420540 FLORIANOPOLIS;21;486;991;9422;101;114838;1623;842;128324
420543 FORMOSA DO SUL;-;6;7;41;-;671;16;1;742
420545 FORQUILHINHA;2;24;54;571;-;7275;103;64;8093
420550 FRAIBURGO;8;47;142;1216;-;12084;268;25;13790
420555 FREI ROGERIO;1;-;5;48;-;714;17;4;789
420560 GALVAO;-;3;10;70;-;996;19;2;1100
420570 GAROPABA;2;27;48;407;-;5163;111;33;5791
420580 GARUVA;4;31;57;545;-;5305;147;2;6091
420590 GASPAR;5;84;160;1411;-;16349;207;38;18254
420600 GOVERNADOR CELSO RAMOS;1;11;27;244;-;3389;48;32;3752
420610 GRAO PARA;-;5;16;146;-;1587;41;7;1802
420620 GRAVATAL;1;12;25;270;-;2543;83;16;2950
420630 GUABIRUBA;2;17;47;360;-;4900;76;15;5417
420640 GUARACIABA;1;3;18;243;-;2282;52;10;2609
420650 GUARAMIRIM;2;58;147;991;-;11170;98;13;12479
420660 GUARUJA DO SUL;-;5;9;66;-;1184;15;15;1294
420665 GUATAMBU;-;4;16;119;-;1701;14;3;1857
420670 HERVAL D'OESTE;4;25;75;499;-;6136;91;49;6879
420675 IBIAM;-;1;-;31;-;442;11;3;488
420680 IBICARE;1;4;1;47;-;748;8;6;815
420690 IBIRAMA;1;25;37;372;-;5334;64;4;5837
420700 ICARA;10;62;125;1247;-;16639;269;49;18401
420710 ILHOTA;3;15;15;260;-;3320;44;2;3659
420720 IMARUI;-;10;14;161;-;2340;49;10;2584
420730 IMBITUBA;4;42;93;820;-;11346;170;54;12529
420740 IMBUIA;-;4;11;120;-;1747;36;1;1919
420750 INDAIAL;5;76;155;1332;-;16547;319;27;18461
420757 IOMERE;-;1;8;41;-;560;9;2;621
420760 IPIRA;1;4;10;105;-;1001;27;6;1154
420765 IPORA DO OESTE;1;5;13;135;-;2199;48;9;2410
420768 IPUACU;2;13;36;295;-;3018;48;17;3429
420770 IPUMIRIM;1;10;14;225;-;1779;71;3;2103
420775 IRACEMINHA;-;2;11;60;-;1019;11;4;1107
420780 IRANI;-;17;31;281;-;2449;133;8;2919
420785 IRATI;-;1;2;41;-;538;11;2;595
420790 IRINEOPOLIS;2;15;27;225;-;2684;73;10;3036
420800 ITA;1;1;12;177;-;1520;19;1;1731
420810 ITAIOPOLIS;2;19;61;536;-;6359;203;28;7208
420820 ITAJAI;33;319;518;5189;-;63038;536;32;69665
420830 ITAPEMA;11;71;130;1199;-;14454;131;23;16019
420840 ITAPIRANGA;-;17;43;303;-;4492;86;28;4969
420845 ITAPOA;2;19;37;437;-;4305;130;12;4942
420850 ITUPORANGA;-;23;46;529;-;7690;164;36;8488
420860 JABORA;-;8;7;85;-;1004;19;9;1132
420870 JACINTO MACHADO;1;15;20;219;-;2722;89;32;3098
420880 JAGUARUNA;1;26;50;445;-;4375;134;11;5042
420890 JARAGUA DO SUL;31;241;470;4173;-;43733;432;60;49140
420895 JARDINOPOLIS;-;1;2;31;-;451;14;1;500
420900 JOACABA;2;27;68;630;-;7470;61;62;8320
420910 JOINVILLE;46;819;1595;15141;-;154628;2751;24;175004
420915 JOSE BOITEUX;2;7;12;168;-;1979;46;5;2219
420917 JUPIA;-;3;5;44;-;595;2;-;649
420920 LACERDOPOLIS;-;2;5;42;-;481;4;2;536
420930 LAGES;18;232;569;4554;-;49487;763;153;55776
420940 LAGUNA;9;53;115;950;-;11015;270;24;12436
420945 LAJEADO GRANDE;-;1;6;41;-;346;3;-;397
420950 LAURENTINO;-;7;11;132;-;1734;10;5;1899
420960 LAURO MULLER;3;9;29;260;-;3933;103;21;4358
420970 LEBON REGIS;1;18;44;244;-;3870;68;96;4341
420980 LEOBERTO LEAL;-;3;11;61;-;963;17;4;1059
420985 LINDOIA DO SUL;-;6;10;118;-;1020;29;1;1184
420990 LONTRAS;1;17;32;251;-;3036;50;3;3390
421000 LUIZ ALVES;2;13;37;269;-;3149;81;3;3554
421003 LUZERNA;-;4;12;74;-;1202;7;11;1310
421005 MACIEIRA;-;4;6;33;-;422;4;3;472
421010 MAFRA;10;92;177;1507;2;16358;445;30;18621
421020 MAJOR GERCINO;-;2;7;64;-;678;12;4;767
421030 MAJOR VIEIRA;1;14;20;141;-;2078;53;6;2313
421040 MARACAJA;3;12;14;174;-;1939;58;9;2209
421050 MARAVILHA;1;21;47;474;-;6813;40;6;7402
421055 MAREMA;-;-;5;28;-;447;6;4;490
421060 MASSARANDUBA;2;18;36;318;-;3753;63;3;4193
421070 MATOS COSTA;-;5;7;99;-;788;16;6;921
421080 MELEIRO;-;8;22;108;-;1778;33;7;1956
